norad_id	bol	mission_start_date	stop_ops_date	demise_date
473	6/29/1961	6/29/1961	3/2/1972	3/2/1972
481	11/24/1962	11/24/1962	12/13/1962	12/13/1962
482	10/24/1962	10/24/1962	12/10/1962	12/10/1962
483	10/24/1962	10/24/1962	1/2/1963	1/2/1963
484	10/24/1962	10/24/1962	12/4/1962	12/4/1962
485	10/24/1962	10/24/1962	12/10/1962	12/10/1962
486	10/24/1962	10/24/1962	11/30/1962	11/30/1962
487	10/24/1962	10/24/1962	12/1/1962	12/1/1962
488	11/4/1962	11/4/1962	12/25/1962	12/25/1962
489	11/4/1962	11/4/1962	12/27/1962	12/27/1962
490	12/4/1962	12/4/1962	12/8/1962	12/8/1962
491	10/24/1962	10/24/1962	12/25/1962	12/25/1962
492	10/24/1962	10/24/1962	12/15/1962	12/15/1962
493	10/24/1962	10/24/1962	12/21/1962	12/21/1962
494	10/24/1962	10/24/1962	12/17/1962	12/17/1962
495	10/24/1962	10/24/1962	12/26/1962	12/26/1962
496	10/24/1962	10/24/1962	12/23/1962	12/23/1962
497	10/24/1962	10/24/1962	12/26/1962	12/26/1962
498	10/24/1962	10/24/1962	12/10/1962	12/10/1962
499	10/24/1962	10/24/1962	12/9/1962	12/9/1962
500	10/24/1962	10/24/1962	12/28/1962	12/28/1962
501	10/24/1962	10/24/1962	12/26/1962	12/26/1962
502	12/13/1962	12/13/1962	2/9/1967	2/9/1967
504	12/13/1962	12/13/1962	8/25/1968	8/25/1968
505	12/14/1962	12/14/1962	1/8/1963	1/8/1963
507	12/13/1962	12/13/1962	7/1/1963	7/1/1963
508	12/13/1962	12/13/1962	1/18/1966	1/18/1966
512	10/24/1962	10/24/1962	12/31/1962	12/31/1962
513	12/13/1962	12/13/1962	2/5/1967	2/5/1967
514	12/19/1962	12/19/1962	4/22/1969	4/22/1969
517	12/22/1962	12/22/1962	12/30/1962	12/30/1962
518	12/22/1962	12/22/1962	1/22/1963	1/22/1963
520	12/13/1962	12/13/1962	3/24/1968	3/24/1968
521	1/4/1963	1/4/1963	1/5/1963	1/5/1963
522	1/4/1963	1/4/1963	1/11/1963	1/11/1963
524	1/4/1963	1/4/1963	1/11/1963	1/11/1963
525	1/7/1963	1/7/1963	1/24/1963	1/24/1963
526	1/7/1963	1/7/1963	1/16/1963	1/16/1963
527	1/16/1963	1/16/1963	1/9/1969	1/9/1969
528	1/16/1963	1/16/1963	11/8/1963	11/8/1963
529	1/16/1963	1/16/1963	12/31/1963	12/31/1963
531	6/29/1961	6/29/1961	4/15/1971	4/15/1971
535	2/19/1963	2/19/1963	6/29/1969	6/29/1969
554	3/21/1963	3/21/1963	3/29/1963	3/29/1963
555	3/21/1963	3/21/1963	4/9/1963	4/9/1963
557	6/29/1961	6/29/1961	2/14/1967	2/14/1967
562	4/1/1963	4/1/1963	4/26/1963	4/26/1963
563	4/2/1963	4/2/1963	4/3/1963	4/3/1963
564	4/3/1963	4/3/1963	11/24/1966	11/24/1966
565	4/3/1963	4/3/1963	11/24/1963	11/24/1963
567	4/13/1963	4/13/1963	8/29/1963	8/29/1963
568	4/13/1963	4/13/1963	7/6/1963	7/6/1963
569	4/22/1963	4/22/1963	4/27/1963	4/27/1963
570	4/22/1963	4/22/1963	5/1/1963	5/1/1963
