# SAT_NAME
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG     PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------   
1 00081U 61004  A 64099.25942492  .10394656 +00000-0 +00000-0 0  9999 | 2 00081 038.8448 136.7337 0200872 038.1868 323.2614 15.48210031142271 | 1964/04/08-06:13:34  151.7504   93.0106     6800.0993     5434.1498     8166.0489 -28.285852  26.623844  -0.200083   0.017785
1 00082U 61004B   25292.06594931  .00000463  00000-0  41446-3 0  9993 | 2 00082  38.8532 175.3459 1167157 138.8700 230.6138 12.27758294 47168 | 2025/10/19-01:34:58  226.7003  117.2869     7937.0648    -1326.7359    17200.8654 -38.725090   3.152551   0.813933  -0.836521
1 00083U 61005  A 62206.70306200  .02507153 +25804-1 +00000-0 0  9990 | 2 00083 080.8319 224.1510 0000000 103.6165 238.9354 16.25710547080751 | 1962/07/25-16:52:24  349.3177   88.5767     6582.2296     6582.2296     6582.2296 -57.997419 -56.303600   0.000000  -0.000000
1 00084U 61006  A 62108.49162620  .00734000 +00000-0 +00000-0 0  9996 | 2 00084 080.6348 036.1968 0053808 166.7139 193.2084 16.12462598064396 | 1962/04/18-11:47:56  346.9827   89.3044     6618.2333     6262.1194     6974.3472  65.071743  47.619736  -0.049563  -0.020947
1    85U 61004C   25126.91579424  .00547528  00000-0  83528-2 0  9990 | 2    85  38.6281 333.3586 0047038 226.2995 133.3890 15.50513241188530 | 2025/05/06-21:58:44  221.6473   92.8725     6793.3635     6473.8173     7112.9098  34.526973 -17.321035  -0.044296  -0.015824
1 00087U 61007  A 61089.39107037  .11557550 +00000-0 +00000-0 0  9992 | 2 00087 028.3799 144.5259 0068373 083.3360 277.0597 16.34729247005608 | 1961/03/30-09:23:08  183.3924   88.0880     6557.9981     6109.6081     7006.3881 -23.111964  16.469846  -0.045873  -0.050701
1 00088U 61005  B 61090.88572693  .01415362 +00000-0 +00000-0 0  9994 | 2 00088 080.9099 107.9583 0000000 339.6631 020.3368 15.97538142006505 | 1961/03/31-21:15:26   39.9054   90.1387     6659.3885     6659.3885     6659.3885 -24.946523  76.968064   0.000000   0.000000
1 00089U 61005  C 61091.31996822  .00509837 +00000-0 +00000-0 0  9998 | 2 00089 080.9099 108.5267 0187904 341.2386 019.1045 15.51776004006506 | 1961/04/01-07:40:45  195.7486   92.7969     6789.6776     5513.8700     8065.4852 -25.708841  76.716800   0.000770   0.187902
1 00090U 61005  D 61295.45793529  .01555739 +00000-0 +00000-0 0  9993 | 2 00090 080.7118 219.4209 0004101 016.4298 343.5769 15.82295788037405 | 1961/10/22-10:59:25  336.0670   91.0070     6702.0870     6674.6017     6729.5722 -62.350026 -51.252989  -0.002302  -0.003394
1 00091U 61008  A 61068.32560921  .00000000 +00000-0 +00000-0 0  9994 | 2 00091 064.9300 300.5999 0070000 095.0000 265.4066 16.39468422000015 | 1961/03/09-07:48:52  342.9784   87.8333     6545.3540     6087.1792     7003.5287  33.051962 -55.888038   0.056917   0.040749
1 00092U 61008  B 61068.57164955  .00000000 +00000-0 +00000-0 0  9999 | 2 00092 064.9299 298.7499 0023484 024.4999 335.5567 16.32781345000057 | 1961/03/09-13:43:10   73.9954   88.1931     6563.2128     6409.0823     6717.3433  31.230453 -56.925835   0.018817  -0.014051
1 00093U 61008  C 61068.57068920  .00000000 +00000-0 +00000-0 0  9995 | 2 00093 064.9299 298.7499 0000000 117.5648 242.4351 16.37479598000058 | 1961/03/09-13:41:47   73.7054   87.9400     6550.6527     6550.6527     6550.6527  31.230453 -56.925835   0.000000   0.000000
1 00095U 61009  A 61084.30125903  .00304554 +00000-0 +00000-0 0  9993 | 2 00095 064.9999 305.7360 0000000 042.2018 317.7981 16.36297684000012 | 1961/03/25-07:13:48  345.2293   88.0035     6553.8067     6553.8067     6553.8067  37.963279 -52.761505   0.000000  -0.000000
1 00096U 61009  B 61084.91338443  .10339310 +00000-0 +00000-0 0  9995 | 2 00096 065.0000 304.1020 0048232 041.7292 318.4575 16.39704983000117 | 1961/03/25-21:55:16  207.6449   87.8207     6544.7244     6229.0593     6860.3896  36.443413 -53.822650   0.046765  -0.011806
1 00097U 61009  C 61084.60967635  .00299049 +00000-0 +00000-0 0  9996 | 2 00097 065.0000 305.2646 0053086 041.8763 318.3297 16.26495110000060 | 1961/03/25-14:37:56   96.8288   88.5339     6580.1127     6230.8009     6929.4246  37.527962 -53.072140   0.051755  -0.011815
1 00099U 60003  D 79186.84178960  .01646730 +24659-2 +98060-3 0  9992 | 2 00099 051.2611 217.5480 0004728 097.4296 263.3330 16.18346998058087 | 1979/07/05-20:12:10    7.9604   88.9797     6602.1808     6570.9656     6633.3959 -40.642008 -31.239840   0.003342  -0.003345
1 00100U 61011  A 62098.29790496  .00498777 +00000-0 +00000-0 0  9993 | 2 00100 082.2270 159.1991 0030504 264.6516 094.9985 16.09519096056721 | 1962/04/08-07:08:58  144.4656   89.4677     6626.2999     6424.1712     6828.4285 -76.867452  29.200588   0.013443   0.027382
1 00101U 60002  C 83106.81622310  .09665547 +57417-4 +11294-2 0  9990 | 2 00101 048.4727 027.9990 0000398 270.9061 249.8269 16.35832332249187 | 1983/04/16-19:35:21  309.4889   88.0286     6555.0496     6552.4407     6557.6585  42.799251  22.755807   0.000192  -0.000348
1 00102U 61011  B 62141.57070259  .02778262 +00000-0 +00000-0 0  9995 | 2 00102 081.8800 137.0465 0000000 256.3089 108.2152 16.31367068060601 | 1962/05/21-13:41:48  302.6030   88.2695     6567.0055     6567.0055     6567.0055 -59.928542  55.793407   0.000000   0.000000
1 00104U 61012  B 61104.66220665  .04001968 +00000-0 +00000-0 0  9998 | 2 00104 065.0699 318.9234 0085709 098.8261 261.6679 16.23126885000396 | 1961/04/14-15:53:34  121.5576   88.7176     6589.2127     6024.4579     7153.9675  49.051760 -42.755312   0.045736   0.072486
1 00105U 60014  D 72059.92842267  .01803377 +00000-0 +00000-0 0  9999 | 2 00105 050.4242 028.4966 0062390 251.9739 107.4401 15.88057487557429 | 1972/02/28-22:16:55  104.1561   90.6768     6685.8664     6268.7352     7102.9976  44.315078  24.057719   0.011338  -0.061351
