# SAT_NAME
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG     PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------   
1 38936U 12044BV  14083.08985207  .06411889  00000-0  14194-1 0  9992 | 2 38936 050.1697 345.3620 0221691 308.9842 048.8378 15.66452925 55875 | 2014/03/24-02:09:23  230.6430   91.9274     6747.2004     5251.4068     8242.9940  48.541281 -12.678441   0.091392  -0.201976
1 38937U 12044BW  14031.48078925  .15667643  11122-4  12163-1 0  9996 | 2 38937 049.0465 108.5070 0169751 286.8847 071.3570 15.90463359 55786 | 2014/01/31-11:32:20  196.9474   90.5397     6679.1223     5545.3346     7812.9100 -15.568365  46.510054   0.138383   0.098314
1 38938U 12044BX  13338.01705126  .48979460  12280-4  26947-2 0  9996 | 2 38938 049.8638 289.2708 0048611 076.8126 289.2186 16.35081498 49001 | 2013/12/04-00:24:33  143.8237   88.0690     6557.0562     6238.3111     6875.8012  16.456717 -47.069895   0.048337   0.005152
1 38939U 12044BY  13330.28021302  .09552262  24864+0  23285-1 0  9996 | 2 38939 050.4593 326.8691 0113206 037.5372 323.3454 15.92274112 48151 | 2013/11/26-06:43:30  198.4865   90.4367     6674.0576     5918.5143     7429.6010  42.255833 -27.578716   0.112871   0.008697
1 38940U 12044BZ  13173.01134561  .08474777  52885-1  26823-1 0  9996 | 2 38940 049.9678 037.4081 0305912 055.5646 307.3828 15.46219895 30153 | 2013/06/22-00:16:20  234.0788   93.1304     6805.9330     4723.9164     8887.9496  39.690860  30.354846  -0.015865   0.305500
1 38941U 12044CA  16087.59448653  .09028898  11080-4  27806-2 0  9995 | 2 38941  49.4426 168.7540 0060182 201.1957 158.6536 16.20828090150780 | 2016/03/27-14:16:03  230.8547   88.8435     6595.4415     6198.5146     6992.3683 -48.493248   9.642387   0.059277   0.010398
1 38942U 12044CB  14197.43648506  .06688456  00000-0  66426-2 0  9994 | 2 38942 049.4976 210.5189 0068094 060.2765 300.7495 16.05387908 78095 | 2014/07/16-10:28:32  239.7754   89.6979     6637.6628     6185.6777     7089.6478 -42.640286 -25.135998   0.000945  -0.068087
1 38943U 12044CC  14054.07126190  .23548202  12775-4  42491-2 0  9992 | 2 38943 049.7075 357.6696 0093912 316.4844 058.7368 16.20035725 59740 | 2014/02/23-01:42:37  165.6416   88.8869     6597.5919     5977.9988     7217.1849  49.666390  -2.021203   0.065418  -0.067379
1 38944U 12044CD  14167.77706423  .08744774  11235-4  54132-2 0  9998 | 2 38944 049.6189 346.5784 0144385 294.5939 064.0055 15.98139103 73505 | 2014/06/16-18:38:58  199.5173   90.1048     6657.7189     5696.4442     7618.9937  48.263731 -11.517272   0.027976  -0.141649
1 38945U 12044CE  13344.58268605  .13622235  99158-5  15664-1 0  9999 | 2 38945 049.8673 181.0102 0161749 178.5115 181.6379 15.87350113 51664 | 2013/12/10-13:59:04  108.0661   90.7172     6687.8526     5606.0991     7769.6060 -49.859549  -0.879181   0.161743  -0.001350
1 38946U 12044CF  13198.69486401  .05604086  10290-4  77702-2 0  9991 | 2 38946 049.9448 310.9400 0254585 126.5163 320.6409 15.65834494 33290 | 2013/07/17-16:40:36  147.7186   91.9637     6748.9768     5030.7886     8467.1651  32.727246 -37.728112   0.055292   0.248508
1 38947U 12044CG  13179.07435382  .07706188  10489-4  18034-1 0  9995 | 2 38947 049.9475 011.9504 0271728 074.1593 269.2629 15.55334098 30964 | 2013/06/28-01:47:04  307.7206   92.5846     6779.3186     4937.1879     8621.4493  48.864999  10.342371   0.018436   0.271102
1 38948U 12044CH  24165.71437312  .13024798  11897-4  36868-3 0  9997 | 2 38948  49.9542 261.4100 0027487 200.4142 159.5765 16.42123904515047 | 2024/06/13-17:08:41  258.2768   87.6913     6538.2957     6358.5776     6718.0139  -7.461298 -49.393837  -0.005632   0.026904
1 38949U 12044CJ  12304.81428213  .24380521  30850+0  16432+0 0  9998 | 2 38949 049.5257 058.0963 0579962 170.7421 190.3411 14.75707877  1359 | 2012/10/30-19:32:33  273.4762   97.5803     7021.0421     2949.1045    11092.9797  26.173994  42.044227  -0.381722  -0.436628
1 38950U 12044CK  14177.21400245 -.00510844  11172-4 -38823-3 0  9991 | 2 38950 050.0936 094.5856 0143370 170.4771 189.8986 15.95938071 71928 | 2014/06/26-05:08:09  256.3331   90.2291     6663.8388     5708.4443     7619.2334  -4.004903  49.933251  -0.012339  -0.142838
1 38951U 12044CL  13056.59846179  .44064061  12120-4  20978-3 0  9995 | 2 38951 050.0485 316.3675 0032379 182.3217 250.0022 16.53194533 17109 | 2013/02/25-14:21:47  342.3626   87.1041     6509.0739     6298.3166     6719.8312  36.224132 -34.534977  -0.024321   0.021375
1 38952U 12044CM  13220.53140901  .13719212  10383-4  84095-2 0  9992 | 2 38952 050.1226 270.4475 0105281 146.5571 213.5763 16.05715353 35618 | 2013/08/08-12:45:13  237.9142   89.6797     6636.7603     5938.0356     7335.4851   0.391471 -50.121071   0.057333   0.088301
1 38953U 12059A   25292.06988966 -.00000176  00000-0  00000-0 0  9992 | 2 38953   3.8066  76.0370 0006334 301.9626 119.0545  1.00272544 47493 | 2025/10/19-01:40:38  275.8983 1436.0860    42164.5192    41897.4491    42431.5893   0.918515   3.694122   0.006024   0.001957
1 38954U 12059B   25292.17384502  .00008206  00000-0  17734-2 0  9996 | 2 38954  20.2465 224.6462 6003691  69.3182 343.1076  4.03107982154570 | 2025/10/19-04:10:20  173.4068  357.2244    16677.1145   -83447.1275   116801.3565 -14.404568 -14.227761   2.438513  -5.486161
1 38955U 12044CN  14308.29575102  .34953826  11679-4  40325-2 0  9992 | 2 38955 049.7807 352.2832 0037478 232.7522 147.9599 16.33349445 86262 | 2014/11/04-07:05:52  136.9289   88.1624     6561.6909     6315.7719     6807.6100  49.329880  -6.684391  -0.026485  -0.026517
1 38956U 12044CP  13179.83398995  .09671594  10965-4  19964-1 0  9993 | 2 38956 049.9508 045.0312 0226530 050.2478 309.3804 15.66487494 30180 | 2013/06/28-20:00:56  172.6515   91.9254     6747.1011     5218.6803     8275.5220  35.301311  35.339778  -0.020842   0.225569
1 38957U 12044CQ  23346.19410257  .03558544  11613-4  10174-2 0  9995 | 2 38957  49.8934 331.6726 0089535 288.1759  70.9501 16.16688912487187 | 2023/12/12-04:39:30  179.7096   89.0709     6606.6941     6015.1638     7198.2245  43.918692 -23.674878  -0.015781  -0.088133
1 38958U 12044CR  13012.67498902  .08162129  35801-1  40900-1 0  9997 | 2 38958 049.8423 161.0142 0400536 019.1552 317.3405 15.18663936 10801 | 2013/01/12-16:11:59  217.8009   94.8202     6888.0145     4129.1167     9646.9123 -47.130841  16.215385  -0.400534  -0.001184
1 38959U 12044CS  22017.89730440  .02325005  11231-4  13500-2 0  9992 | 2 38959  49.9002 238.8708 0098121 199.2590 160.4679 16.07627117384660 | 2022/01/17-21:32:07  201.7170   89.5730     6631.4977     5980.8085     7282.1869 -25.796889 -42.714757   0.020183   0.096023
1 38960U 12044CT  25250.91128396  .06095475  11669-4  94205-3 0  9996 | 2 38960  49.9901  50.8138 0051197 213.4474 146.3288 16.28879601508376 | 2025/09/07-21:52:14  264.6965   88.4043     6573.6895     6237.1363     6910.2427  31.585876  38.747161  -0.005119  -0.050940
1 38961U 12044CU  24173.37501452  .13124184  11997-4  32102-3 0  9998 | 2 38961  49.9430 212.8431 0031406 231.0336 128.7868 16.42269479509915 | 2024/06/21-09:00:01  192.3956   87.6835     6537.9093     6332.5798     6743.2389 -41.960055 -27.086105   0.003350   0.031227
1 38962U 12044CV  14355.32672300  .11559877  10829-4  58257-2 0  9996 | 2 38962 050.0531 297.7771 0123394 241.9858 116.8693 16.04513042 92677 | 2014/12/21-07:50:28  270.7979   89.7469     6640.0753     5820.7299     7459.4208  23.326399 -44.285347  -0.123393   0.000511
1 38963U 12044CW  14258.48176197  .08019178  10997-4  19949-2 0  9991 | 2 38963 049.7440 045.7078 0109555 188.9253 203.4457 16.14168510 84731 | 2014/09/15-11:33:44   89.7103   89.2100     6613.5696     5889.0200     7338.1192  34.737123  35.606149  -0.063412  -0.089338
1 38964U 12044CX  13260.81787620  .09842338  11498-4  59346-2 0  9995 | 2 38964 049.9063 112.9253 0111990 296.6544 066.0473 16.04679249 40809 | 2013/09/17-19:37:44  175.7046   89.7376     6639.6168     5896.0461     7383.1875 -19.440035  45.964376   0.072613   0.085259
1 38965U 12044CY  14232.78989384  .20781595  11585-4  80839-2 0  9991 | 2 38965 049.9312 136.4501 0078535 090.3855 270.6137 16.15448609 81569 | 2014/08/20-18:57:26  115.9442   89.1393     6610.0754     6090.9531     7129.1976 -36.188865  34.401901  -0.053725  -0.057283
1 38966U 12044CZ  13089.94874666 +.00464858 +20750-4 +11419-1 0  9994 | 2 38966 049.8400 055.8481 2109047 111.0871 275.1087 11.23944513017081 | 2013/03/30-22:46:11   87.9843  128.1202     8418.5752    -9336.5955    26173.7459  27.979620  41.245199  -2.054454   0.476756
1 38967U 12044DA  14284.18456305  .11451849  10443-4  83234-2 0  9996 | 2 38967 049.9184 351.2678 0125445 207.1237 152.3159 15.99993278 83947 | 2014/10/11-04:25:46   95.4240   90.0004     6652.5743     5818.0421     7487.1065  49.339782  -7.578428  -0.119038  -0.039579
1 38968U 12044DB  13120.07414397  .18428614  11915-4  16243-1 0  9999 | 2 38968 049.5998 177.7629 0183908 309.2614 265.9926 15.86109346 23932 | 2013/04/30-01:46:46  211.8474   90.7882     6691.3399     5460.7490     7921.9308 -49.561998   1.936120  -0.110741   0.146829
1 38969U 12044DC  13247.16899784 +.00790128 +75901-4 +10314-1 0  9998 | 2 38969 050.2915 295.1640 1096390 131.7276 238.2777 13.49462189001342 | 2013/09/04-04:03:21   99.1131  106.7092     7452.3749     -718.3344    15623.0842  21.384483 -45.518555   0.430302   1.008420
1 38970U 12044DD  14020.53444847  .11362966  10744-4  32167-2 0  9999 | 2 38970 050.3030 128.1277 0084306 191.6393 175.0203 16.17731233 54934 | 2014/01/20-12:49:36  177.4368   89.0136     6603.8560     6047.1113     7160.6007 -31.057890  39.570182   0.064361  -0.054453
1 38971U 12044DE  23282.58886428  .02664174  11273-4  19169-2 0  9991 | 2 38971  49.9729  66.5682 0128071 100.8775 260.6653 15.99628424489302 | 2023/10/09-14:07:57  161.8191   90.0209     6653.5859     5801.4545     7505.7173  19.872083  45.851838  -0.125009   0.027838
1 38972U 12044DF  15099.26688358  .20435365  12721-4  20146-3 0  9991 | 2 38972 050.0427 147.2582 0050246 292.5993 066.9701 16.44905413109101 | 2015/04/09-06:24:18  146.4369   87.5430     6530.9229     6202.7701     6859.0756 -42.091737  27.065799   0.008848   0.049461
1 38973U 12044DG  13268.70262964  .41150358  12571-4  16455-1 0  9996 | 2 38973 050.0554 072.9282 0090268 313.8068 045.5484 16.13141219 41672 | 2013/09/25-16:51:47  185.3310   89.2668     6616.3771     6019.1300     7213.6242  14.694757  47.849840   0.080618   0.040608
1 38974U 12044DH  12320.54490852  .26676367  87589+0  11723+0 0  9999 | 2 38974 049.9662 006.4761 0363843 209.6042 148.2199 15.31813656  2884 | 2012/11/15-13:04:40  246.8858   94.0062     6848.5382     4356.7455     9340.3309  49.647365   5.635625  -0.294055  -0.214274
1 38975U 12060A   13111.57604513 -.00391701  00000-0 -44465-2 0  9997 | 2 38975 051.6532 028.8472 0041788 317.8087 042.1803 15.61650999 26769 | 2013/04/21-13:49:30   28.3363   92.2101     6761.0246     6478.4949     7043.5543  45.243529  24.921399   0.040660  -0.009645
1 38976U 12060B   12307.08901457  .11588839  12466-4  39860-3 0  9994 | 2 38976 051.6192 155.3915 0009682 103.1033 257.4954 16.43754481   294 | 2012/11/02-02:08:10  277.8112   87.6043     6533.9711     6470.7092     6597.2330 -46.930852  21.495044  -0.001931  -0.009487
1 38977U 12061A   25292.12136988 -.00000134  00000-0  00000-0 0  9991 | 2 38977   9.9614  52.2134 0007084 169.0999 194.0029  1.00273088 47199 | 2025/10/19-02:54:46   16.2198 1436.0782    42164.3667    41865.6743    42463.0591   6.103571   7.872478  -0.005321  -0.004677
1 38978U 12061B   25292.37495772  .00000000  00000-0  00000+0 0  9998 | 2 38978   0.0202 222.1295 0000576 297.0984 186.8121  1.00272025 47211 | 2025/10/19-08:59:56  177.0376 1436.0935    42164.6647    42140.3778    42188.9515  -0.014981  -0.013550  -0.000539   0.000204
1 38979U 12061C   25291.36526121  .00000069  00000-0  82810-3 0  9998 | 2 38979  47.1528 238.4899 7088832  38.4184 355.0025  2.27843955106284 | 2025/10/18-08:45:58  246.6809  632.0115    24395.5249  -148540.2529   197331.3027 -24.644357 -40.200028   0.852649  -7.037367
1 38980U 12061D   25291.82364220 -.00000194  00000-0  00000-0 0  9999 | 2 38980   8.6000  40.9073 0742166 127.3877 239.5793  1.12486540 52914 | 2025/10/18-19:46:02  276.1863 1280.1532    39054.2350    10069.5096    68038.9605   6.499622   5.631599  -0.726733   0.150565
1 38981U 12044DJ  13059.69248030  .19242751  10285-4  14922-1 0  9990 | 2 38981 050.4334 006.0821 0105133 134.9950 227.0136 16.02924159 16165 | 2013/02/28-16:37:10   39.8596   89.8358     6644.4626     5945.9103     7343.0148  50.149515   5.343591  -0.081793   0.066052
1 38982U 12044DK  13298.31475305  .18513272  12528-4  16377-1 0  9998 | 2 38982 050.2066 327.9807 0130886 033.6266 327.2943 15.96598714 45542 | 2013/10/25-07:33:14  178.2643   90.1917     6662.0005     5790.0379     7533.9630  42.568647 -26.619785   0.130835   0.003671
1 38983U 12044DL  13210.22874990  .12929074  10830-4  35225-2 0  9999 | 2 38983 050.2228 272.2350 0093051 138.2606 223.9342 16.16505702 34305 | 2013/07/29-05:29:23  114.9532   89.0810     6607.1933     5992.3874     7221.9993   1.958600 -50.184595   0.059193   0.071796
1 38984U 12044DM  13263.53855022  .11333452  11933-4  55430-2 0  9990 | 2 38984 050.3748 088.4816 0085648 296.7022 063.1003 16.11740042 40660 | 2013/09/20-12:55:30  105.1717   89.3444     6620.2112     6053.2033     7187.2190   1.334830  50.357112   0.077507   0.036445
1 38985U 12044DN  13212.35423378  .10409995  10468-4  10050-1 0  9995 | 2 38985 049.8376 211.9158 0132944 217.6150 141.5478 15.95111844 35405 | 2013/07/31-08:30:05  225.5736   90.2758     6666.1398     5779.9165     7552.3630 -42.303447 -26.347765   0.046491   0.124550
1 38986U 12044DP  13361.58615144  .06505825  10364-4  87814-2 0  9992 | 2 38986 049.8868 144.7390 0164600 209.6111 149.5595 15.84707468233112 | 2013/12/27-14:04:03  163.3230   90.8685     6695.2856     5593.2416     7797.3296 -40.734106  28.799748   0.163800  -0.016205
1 38987U 12044DQ  13018.43551149  .23846182  12868-4  23342-1 0  9999 | 2 38987 050.0449 162.2535 0107124 011.1521 019.8651 15.99593871 11806 | 2013/01/18-10:27:08   81.5060   90.0229     6653.6817     5940.9127     7366.4507 -47.663484  15.253992  -0.106415   0.012302
1 38988U 12044DR  14159.00364676  .03478965  10396-4  43520-2 0  9990 | 2 38988 049.3627 087.0198 0183679 238.0744 120.8996 15.81901358 66169 | 2014/06/08-00:05:15  171.6235   91.0297     6703.2010     5471.9637     7934.4383   2.566409  49.295940   0.150634  -0.105106
1 38989U 12044DS  12343.36749356 +.00460866 +17806-4 +11798-1 0  9997 | 2 38989 050.0222 336.8270 2352548 231.3525 164.4036 10.73045609005104 | 2012/12/08-08:49:11  197.2286  134.1975     8682.7318   -11743.8115    29109.2752  45.986453 -19.684173  -2.073706  -1.110956
1 38990U 12044DT  13190.42160612  .04545016  10175-4  10790-1 0  9997 | 2 38990 050.0157 343.7730 0302666 096.9313 267.3691 15.48572852 31601 | 2013/07/09-10:07:06   91.2150   92.9888     6799.0371     4741.1998     8856.8745  48.023180 -13.976567   0.048890   0.298691
1 38991U 12062A   25292.26554104  .00000000  00000-0  00000-0 0  9998 | 2 38991   0.0114 200.9766 0002280  27.8179 179.8013  1.00270139 47333 | 2025/10/19-06:22:22   74.9840 1436.1205    42165.1934    42069.0568    42261.3300  -0.010644  -0.004081  -0.001502  -0.001715
1 38992U 12062B   25292.27156391  .00000128  00000-0  00000-0 0  9997 | 2 38992   0.0877  35.8799 0002882 184.1845 287.3205  1.00274924 47419 | 2025/10/19-06:31:03  338.3690 1436.0519    42163.8520    42042.3358    42285.3682   0.071059   0.051400  -0.002206  -0.001855
1 38993U 12062C   25291.91064693  .00016201  00000-0  21703-2 0  9995 | 2 38993   2.3816 148.0181 6960747 231.4860  43.7655  2.70955714117290 | 2025/10/18-21:51:19  292.1985  531.4522    21733.8316  -129549.8718   173017.5351  -2.020110   1.261418   6.561323   2.324015
1 38994U 12062D   16312.92316234  .66924520 -35588-4  13729-2 0  9999 | 2 38994   2.2010  46.1420 0206010  94.2107  52.8625 16.06904902 53024 | 2016/11/07-22:09:21  186.6607   89.6133     6633.4846     5266.9204     8000.0487   1.525014   1.587051  -0.158625   0.131447
1 38995U 12063A   25291.80092061 -.00000755  00000-0  00000-0 0  9999 | 2 38995  64.5762  29.1469 7284881 230.2589  39.2895  2.00628307 94663 | 2025/10/18-19:13:19   17.1632  717.7452    26554.6370  -166892.7336   220002.0076  56.399164  31.451867  -1.339339  -7.160703
1 38996U 12063B   25289.72666873 -.00001473  00000-0  00000+0 0  9993 | 2 38996  64.8143  30.5657 7268410 232.0580  37.6086  2.00087288 94443 | 2025/10/16-17:26:24  346.8510  719.6859    26602.4831  -166755.2711   219960.2374  55.808133  32.959760  -0.933158  -7.208259
1 38997U 12064A   23060.93787308  .71218149  28020-5  37229-3 0  9991 | 2 38997  97.0130  93.5937 0007809 242.3564 204.7230 16.55576688578762 | 2023/03/01-22:30:32  316.4304   86.9788     6502.8286     6452.0480     6553.6092  -6.080851  96.822236   0.007131  -0.003182
1 38998U 12064B   24011.18020368  .15381868  22956-5  11359-3 0  9997 | 2 38998  97.0513  60.0597 0007505 299.5921 106.9546 16.53034992627092 | 2024/01/11-04:19:29   68.4539   87.1125     6509.4927     6460.6389     6558.3464  48.438048  84.099407   0.007505  -0.000046
1 38999U 12064C   19278.03808741  .29800552  25561-5  16236-3 0  9995 | 2 38999  97.1438 357.1311 0013352 185.8684 252.3748 16.54898663389329 | 2019/10/05-00:54:50  311.7598   87.0144     6504.6046     6417.7552     6591.4541  97.022047  -4.862128  -0.013334  -0.000699
1 39000U 12064D   16179.77060993  .36889487  25829-5  11115-3 0  9996 | 2 39000  97.2451 226.6803 0014177 251.1812 110.9403 16.59919218203856 | 2016/06/27-18:29:40  324.9138   86.7512     6491.4822     6399.4525     6583.5120 -66.716804 -70.749400  -0.006625   0.012534
1 39001U 12064E   14339.44514795  .33832427  26308-5  15794-1 0  9998 | 2 39001 097.5360 341.3018 0011084 175.8462 184.2922 16.21544860111549 | 2014/12/05-10:41:00  252.9693   88.8042     6593.4978     6520.4154     6666.5801  92.388084 -31.268406  -0.010214   0.004304
1 39002U 12025J   13019.29897445  .08524893  00000-0  11271+0 0  9996 | 2 39002 098.1449 327.2492 0025374 159.9972 200.1070 15.53247542  9819 | 2013/01/19-07:10:31  259.1210   92.7090     6785.3886     6613.2161     6957.5610  82.542948 -53.095038  -0.015357   0.020199
1 39003U 12025K   13140.59066125  .15617307  96121+0  12820+0 0  9998 | 2 39003 098.0839 090.2767 0038755 177.4502 182.6970 15.83537700 27842 | 2013/05/20-14:10:33    0.6086   90.9356     6698.5824     6438.9788     6958.1859  -0.473677  98.082756  -0.001537  -0.038725
1 39004U 12025L   13211.47523786  .54825759  24974-5  42167-1 0  9993 | 2 39004 098.0915 163.7177 0023828 153.4368 210.0354 16.14262183 38454 | 2013/07/30-11:24:20  312.1574   89.2048     6613.3137     6455.7317     6770.8958 -94.157241  27.501932   0.017470  -0.016204
1 39005U 12025M   13226.93516316  .31011692  00000-0  12331-1 0  9999 | 2 39005 098.1155 178.3043 0059417 223.8082 135.5444 16.19026512 40738 | 2013/08/14-22:26:38  122.5016   88.9423     6600.3333     6208.1613     6992.5053 -98.072534   2.903358   0.044077   0.039844
1 39006U 12025N   12352.77545591  .04422708  00000-0  10375+0 0  9996 | 2 39006 098.1227 294.2992 0049163 108.5544 252.1990 15.40738554  5102 | 2012/12/17-18:36:39   70.8985   93.4617     6822.0653     6486.6721     7157.4585  40.377651 -89.429914   0.036041   0.033437
1 39007U 12025P   13017.39535776  .15363291  00000-0  13819+0 0  9997 | 2 39007 098.1073 325.3883 0034940 131.5405 231.7011 15.61162175  9403 | 2013/01/17-09:29:18  290.6662   92.2390     6762.4359     6526.1564     6998.7154  80.744309 -55.726106  -0.004215   0.034685
1 39008U 12065A   25292.25509715  .00000000  00000-0  00000-0 0  9998 | 2 39008   0.0167 208.2400 0001896 353.1930 216.8739  1.00269192 47210 | 2025/10/19-06:07:20   61.5028 1436.1340    42165.4589    42085.5132    42245.4046  -0.014712  -0.007902  -0.001765  -0.000693
1 39009U 12065B   25290.08503365 -.00000124  00000-0  00000-0 0  9991 | 2 39009  29.8536 126.3213 6879889 249.2480  28.4923  2.23060893106624 | 2025/10/17-02:02:26   12.3863  645.5636    24743.0301  -145486.2706   194972.3308 -17.682668  24.053289   6.627442   1.846588
1 39010U 12065C   25291.34849871  .00004257  00000-0  74775-3 0  9991 | 2 39010  49.7009  42.2406 4594213 298.3695  23.0789  6.29579297288847 | 2025/10/18-08:21:50  148.8516  228.7242    12388.9609   -44528.5643    69306.4861  36.794989  33.411199   4.333635  -1.525255
1 39011U 12066A   25292.08019859  .00000051  00000-0  14231-3 0  9999 | 2 39011  63.3554 192.3990 0415783  25.1567 336.9092 13.45476928633709 | 2025/10/19-01:55:29  222.2089  107.0252     7467.0834     4362.3971    10571.7698 -61.877700 -13.603563  -0.329617  -0.253433
1 39012U 12066B   25292.08445860  .00000072  00000-0  16255-3 0  9996 | 2 39012  63.3559 192.5984 0415914  24.9048 337.1431 13.45473638633667 | 2025/10/19-02:01:37  223.5653  107.0255     7467.0956     4361.4260    10572.7652 -61.830471 -13.818935  -0.329953  -0.253211
1 39013U 12066C   25292.30571304  .00000099  00000-0  19014-3 0  9990 | 2 39013  63.3574 191.4981 0416167  24.4831 337.5348 13.45465309633720 | 2025/10/19-07:20:13  304.5653  107.0262     7467.1264     4359.5548    10574.6980 -62.085900 -12.629375  -0.336766  -0.244506
1 39014U 12066D   25292.29130914  .00000421  00000-0  16165-3 0  9990 | 2 39014  63.3905  12.1965 0602470  10.0777 351.1728 13.71716142645498 | 2025/10/19-06:59:29  119.4347  104.9780     7371.5533     2930.4136    11812.6930  61.959700  13.392200   0.557514   0.228360
1 39015U 12066E   25292.16203923  .00000535  00000-0  62111-3 0  9996 | 2 39015  63.3565 213.3733 0422540  25.8451 336.3032 13.44936715633209 | 2025/10/19-03:53:20  230.6955  107.0682     7469.0828     4313.0966    10625.0691 -52.909285 -34.851881  -0.216242  -0.363014
1 39016U 12066F   25292.15385170  .00000472  00000-0  55212-3 0  9995 | 2 39016  63.3560 205.8729 0424569  26.3093 335.8833 13.45216313633363 | 2025/10/19-03:41:32  235.1960  107.0460     7468.0478     4297.3462    10638.7494 -57.005466 -27.647055  -0.260326  -0.335394
1 39017U 12067A   25292.35597764 -.00000208  00000-0  00000+0 0  9992 | 2 39017   0.0124 160.3618 0003107  51.3416  32.0312  1.00269162 47093 | 2025/10/19-08:32:36  272.4915 1436.1345    42165.4673    42034.4592    42296.4754  -0.011679   0.004167  -0.002643  -0.001633
1 39018U 12067B   13112.37867307  .99999999 -42212-4  41027-2 0  9990 | 2 39018 026.1315 172.8571 1810818 255.5129 119.1753 12.38878747  2518 | 2013/04/22-09:05:17  159.3644  116.2341     7889.4968    -6396.9460    22175.9397 -25.928696   3.249307   0.667488   1.683307
1 39019U 12068A   25292.28783600  .00000760  00000-0  17344-3 0  9998 | 2 39019  98.1848   5.7825 0001347  97.8623 262.2730 14.58535141685737 | 2025/10/19-06:54:29  125.7101   98.7292     7076.0448     7066.5134     7085.5763  97.685189   9.892357  -0.000318   0.001309
1 39020U 12069A   25292.19975194 -.00000046  00000-0  00000-0 0  9998 | 2 39020   0.0674 352.8461 0004272 215.2231 322.2888  1.00271202 47091 | 2025/10/19-04:47:38  289.4728 1436.1053    42164.8954    41984.7670    42345.0238   0.066875  -0.008394  -0.003770  -0.002010
1 39021U 12069B   25292.06301203 -.00000173  00000-0  00000-0 0  9990 | 2 39021   0.3314  41.7711 6883642  22.2156 349.5485  2.21899204104420 | 2025/10/19-01:30:44  356.9345  648.9433    24829.3116  -146086.7804   195745.4036   0.247162   0.220764   3.019026   6.186276
1 39022U 12070A   25292.20682361  .00000084  00000-0  00000-0 0  9996 | 2 39022   0.6434  87.3498 0003922 125.9003 304.0552  1.00272232 46985 | 2025/10/19-04:57:49  305.0783 1436.0905    42164.6067    41999.2371    42329.9762   0.029750   0.642712  -0.003280  -0.002150
1 39023U 12070B   25289.99689237 -.00000260  00000-0  00000-0 0  9995 | 2 39023  25.1782  86.9043 6350233 112.5542 323.9307  2.09997861 97943 | 2025/10/16-23:55:31  221.2410  685.7213    25758.7783  -137815.4655   189333.0220   1.359720  25.141458  -5.987527  -2.115415
1 39024U 12070C   22194.11538670  .09016357  11169-4  10000-3 0  9994 | 2 39024  47.2232 167.3329 0266477  53.7051  47.7489 15.97939895 90692 | 2022/07/13-02:46:09   63.7263   90.1160     6658.2722     4883.9958     8432.5486 -46.073817  10.355387  -0.200997  -0.174958
1 39026U 12072A   23255.63925420  .01679818  25600-2  12588-2 0  9991 | 2 39026  97.2621 258.2074 0006472 205.1820 154.9152 16.16004275599129 | 2023/09/12-15:20:31  323.2030   89.1087     6608.5600     6565.7894     6651.3306 -19.877419 -95.209266  -0.001499   0.006296
1 39027U 12072B   25292.27567314  .00584325  15374-3  11496-2 0  9991 | 2 39027  97.5384 305.5929 0004433 293.8450  66.2362 16.00086645681126 | 2025/10/19-06:36:58  181.5632   89.9951     6652.3155     6622.8258     6681.8053  56.769515 -79.315583  -0.002254  -0.003817
1 39028U 12072C   18223.17778255  .11174336  24125-5  26395-3 0  9995 | 2 39028  97.1339 298.9219 0014784 250.8752 109.0950 16.45023837318295 | 2018/08/11-04:16:00   84.6980   87.5367     6530.6094     6434.0609     6627.1580  46.975603 -85.019335  -0.014568  -0.002516
1 39029U 12072D   21047.48883546  .06742592  23135-5  79685-3 0  9997 | 2 39029  97.0062  94.8719 0006965 247.0260 113.0304 16.36635063459957 | 2021/02/16-11:43:55  227.7431   87.9854     6552.9060     6507.2650     6598.5470  -8.238569  96.655723   0.006620  -0.002164
1 39030U 12073A   25292.31929801  .00001133  00000-0  17468-3 0  9998 | 2 39030  97.6954 136.6362 0001952  72.7983 287.3440 14.75180063688990 | 2025/10/19-07:39:47    6.2068   97.6152     7022.7167     7009.0084     7036.4251 -71.025399  67.080428  -0.001700  -0.000959
1 39031U 12073B   12365.95711743  .15500500  25183-5  13293-3 0  9994 | 2 39031 096.5367 256.5509 0064064 301.5773 059.1755 16.44349305  1914 | 2012/12/30-22:58:14  187.0380   87.5726     6532.3953     6113.9039     6950.8866 -22.452645 -93.889367  -0.060884  -0.019933
