# SPACE DATA - CATALOG TLEs (nice format)
# Generated : 2026/03/21-13:43:36
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG      ARG_LAT     TANOM    PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------
1 00039U 60005  F 60226.37184334  .00591427 +00000-0 +00000-0 0  9990 | 2 00039 064.8899 324.0258 0059941 055.6628 304.6251 15.82510302014005 | 1960/08/13-08:55:27  312.2051  359.7203  304.0575   90.9947     6701.4813     6661.3120     6741.6507  52.514201 -38.117683   0.005644   0.002019
1 00040U 60005  G 60196.98540115  .00376529 +00000-0 +00000-0 0  9992 | 2 00040 064.8899 065.1154 0142796 067.5265 293.2405 15.63031690009404 | 1960/07/14-23:38:58   42.1700  359.2530  291.7265   92.1287     6757.0425     6660.5547     6853.5304  27.305151  58.865337  -0.009673   0.010504
1 00041U 60005  H 60213.55741600  .00877296 +00000-0 +00000-0 0  9995 | 2 00041 064.8899 009.0399 0041880 060.9395 299.2735 15.87027825012009 | 1960/07/31-13:22:40  320.6368  359.7933  298.8538   90.7356     6688.7580     6660.7454     6716.7705  64.083913  10.195646   0.001434   0.003935
1 00042U 60005  J 60229.62556458  .00384003 +00000-0 +00000-0 0  9995 | 2 00042 064.8899 312.6938 0125675 047.5739 312.9645 15.78145464014500 | 1960/08/16-15:00:48   57.0956  359.4732  311.8993   91.2463     6713.8323     6629.4562     6798.2084  44.000553 -47.693296   0.012567   0.000059
1 00043U 60006  A 74037.77776050  .00988543 +09018-2 +01753-4 0  9996 | 2 00043 033.0454 016.0357 0002584 233.4948 126.5498 16.39800644771946 | 1974/02/06-18:39:58  220.6955    0.0684  126.5736   87.8156     6544.4699     6542.7788     6546.1610  31.759596   9.128337  -0.000090  -0.000242
1 00044U 60006  B 60339.48320007  .05617416 +00000-0 +00000-0 0  9995 | 2 00044 033.0000 103.1687 0000000 237.9085 122.0914 16.16822545029905 | 1960/12/04-11:35:48  325.0354  359.9999  122.0914   89.0636     6606.3301     6606.3301     6606.3301  -7.518026  32.132216   0.000000  -0.000000
1 00045U 60007A   26080.53932200  .00000529  00000-0  15219-3 0  9999 | 2 00045  66.6923 232.0256 0253840 224.3603 133.6915 14.35901343367462 | 2026/03/21-12:56:37  323.1741    0.1095  135.7492  100.2854     7150.2096     6968.7087     7331.7105 -41.036394 -52.572590  -0.002823   0.025227
1 00046U 60007B   26080.46574107  .00000943  00000-0  19166-3 0  9995 | 2 00046  66.6866 107.3853 0195856 357.0546   2.9393 14.54708512444242 | 2026/03/21-11:10:40   60.2254    0.1119    3.0573   98.9889     7088.4485     6949.6170     7227.2800 -19.925687  63.640157  -0.004884   0.018967
1 00047U 60007C   26080.56929775  .00000477  00000-0  12441-3 0  9993 | 2 00047  66.6632 282.0495 0221703 204.0419 155.0215 14.45204164438147 | 2026/03/21-13:39:47  282.9894    0.1098  156.0679   99.6399     7119.4925     6961.6512     7277.3338  13.916388 -65.194451  -0.013060   0.017915
1 00048U 60008  A 60316.86378860  .00255821 +00000-0 +00000-0 0  9991 | 2 00048 082.8499 240.5639 0041854 221.9110 138.2461 16.10987363014500 | 1960/11/11-20:43:51  301.5902    0.4752  138.5642   89.3862     6622.2731     6594.5562     6649.9899 -40.716797 -72.154337  -0.000904   0.004087
1 00049U 60009  A 68144.86617407  .41988289 +00000-0 +00000-0 0  9999 | 2 00049 047.1857 303.1560 0018299 276.1888 083.6866 15.53427992360298 | 1968/05/23-20:47:17   70.6731    0.0839   83.8951   92.6982     6784.8631     6772.4475     6797.2787  25.806825 -39.503140  -0.001415  -0.001160
1 00050U 60009B   26080.40542574 -.00000133  00000-0 -43780-3 0  9991 | 2 00050  47.2302  74.1931 0112806 113.4213 247.8483 12.20162885926988 | 2026/03/21-09:43:48   70.3063    0.0788  246.6575  118.0170     7969.9690     7880.0630     8059.8751  12.865323  45.444199  -0.011181  -0.001495
1 00051U 60009C   26080.60280385 -.00000109  00000-0 -24297-3 0  9998 | 2 00051  47.2147 320.3755 0108510 297.1424  61.8334 12.18377545920494 | 2026/03/21-14:28:02  256.8795    0.0790   62.9366  118.1900     7977.7530     7891.1864     8064.3196  36.366679 -30.111336  -0.002345  -0.010595
1 00052U 60009D   76059.20960648 +.00000225 +00000-0 +10000-3 0  9997 | 2 00052 047.1450 002.7500 1406000 181.1400 000.0000 12.17682743007435 | 1976/02/28-05:01:49  229.4207  181.1400    0.0000  118.2574     7980.7874     6858.6887     9102.8861  47.090707   2.261929  -0.140276  -0.009538
1 00053U 60009E   26080.48442131 -.00000098  00000-0 -12674-3 0  9998 | 2 00053  47.2757 252.8740 0099852 175.8788 184.2842 12.17406686924743 | 2026/03/21-11:37:34  281.3294    0.0786  184.1998  118.2842     7981.9938     7902.2920     8061.6956 -13.921465 -45.179471   0.003619   0.009306
1 00054U 60010  A 60260.63050842  .09000678 +00000-0 +00000-0 0  9998 | 2 00054 079.6499 291.9186 0000000 070.2736 289.7263 16.45439868004506 | 1960/09/16-15:07:55  110.7532  359.9999  289.7263   87.5146     6529.5086     6529.5086     6529.5086  29.732429 -73.892417   0.000000   0.000000
1 00055U 60011  A 60232.67329979  .00000000 +00000-0 +00000-0 0  9993 | 2 00055 064.8999 133.4774 0000029 074.8933 285.1068 15.88175450000050 | 1960/08/19-16:09:33  257.0888  359.9998  285.1065   90.6701     6685.5353     6685.5160     6685.5547 -44.655571  47.094342  -0.000003  -0.000001
1 00056U 60011  B 60267.06075999  .41473555 +00000-0 +00000-0 0  9999 | 2 00056 064.9400 008.3000 0007000 015.2810 344.7297 16.37352814005552 | 1960/09/23-01:27:29  196.0148  359.9896  344.7086   87.9468     6550.9909     6546.4052     6555.5766  64.259805   9.374492   0.000642   0.000280
1 00057U 60012  A 60290.54695000  .04696393 +00000-0 +00000-0 0  9997 | 2 00057 080.9000 350.4820 0137900 045.7500 314.8230 16.18451648005105 | 1960/10/16-13:07:36   50.9423  359.4385  313.6885   88.9739     6601.8962     6510.8560     6692.9363  79.786306 -13.377418   0.011123   0.008151
1 00058U 60013A   26080.47448373  .00000122  00000-0  50994-4 0  9995 | 2 00058  28.3264 224.8012 0164824 201.5206 157.8344 13.46426595222238 | 2026/03/21-11:23:15  306.6115    0.0542  158.5336  106.9498     7463.5719     7340.5543     7586.5895 -20.099166 -19.960171   0.006619   0.015095
1 00059U 60013B   26080.42536022  .00000136  00000-0  61723-4 0  9997 | 2 00059  28.2481 214.4805 0188988 299.0305  59.1426 13.53165514231271 | 2026/03/21-10:12:31  300.3339    0.0546   61.0241  106.4171     7438.7717     7298.1878     7579.3555 -23.285443 -15.991976  -0.016915   0.008429
1 00060U 60014A   12087.77141234  .11240700  12162-4  82585-3 0  9996 | 2 00060 049.8769 297.0017 0014319 253.4265 106.9983 16.39420536586174 | 2012/03/27-18:30:50  346.1356    0.5816  107.1551   87.8359     6545.4814     6536.1089     6554.8539  22.644957 -44.439971  -0.001408  -0.000259
1 00061U 60015  A 60364.02705382  .10955548 +00000-0 +00000-0 0  9992 | 2 00061 081.8599 016.2232 0045646 000.3782 359.6234 16.28773935007101 | 1960/12/29-00:38:57  271.5087  359.9981  359.6199   88.4101     6573.9738     6543.9662     6603.9813  78.600291  22.870012   0.004374   0.001304
1 00062U 60014  B 85299.99371213  .22611759 +59541-4 +14030-2 0  9998 | 2 00062 049.8852 300.2652 0004622 342.1851 017.9663 16.41189261236970 | 1985/10/26-23:50:56  273.0972    0.1677   17.9826   87.7413     6540.7778     6537.7547     6543.8010  25.142297 -43.085938   0.000100  -0.000451
1 00063U 60016A   14137.84158636  .05029428  11996-4  29744-3 0  9998 | 2 00063 048.4363 277.0735 0002693 070.9689 289.2672 16.41566560916315 | 2014/05/17-20:11:53   81.4439    0.2070  289.2381   87.7211     6539.7756     6538.0144     6541.5367   5.964567 -48.067651   0.000263  -0.000056
1 00064U 60016  B 81266.64980638  .07532016 +56009-4 +21805-2 0  9996 | 2 00064 048.4675 356.4796 0009546 002.9809 357.3240 16.26432176126830 | 1981/09/23-15:35:43   59.6901    0.2998  357.3189   88.5374     6580.2825     6574.0009     6586.5640  48.376042  -2.976094   0.000955  -0.000009
1 00065U 60017  A 60336.92132948  .03564668 +00000-0 +00000-0 0  9999 | 2 00065 065.0000 216.0710 0035092 066.5949 293.5926 16.29251414000101 | 1960/12/01-22:06:42    6.5916  359.8183  293.2234   88.3841     6572.6893     6549.6244     6595.7542 -52.538720 -38.271176   0.000769  -0.003424
1 00066U 60017  B 60337.83657837  .11466851 +00000-0 +00000-0 0  9994 | 2 00066 065.0000 212.5878 0000000 066.1541 293.8458 16.49838039000258 | 1960/12/02-20:04:40  340.5726  359.9999  293.8458   87.2813     6517.8991     6517.8991     6517.8991 -54.766861 -35.008440   0.000000  -0.000000
1 00067U 60018  A 61089.88313007  .02166348 +00000-0 +00000-0 0  9992 | 2 00067 081.4799 311.2902 0075215 087.1562 273.2815 16.16589761017703 | 1961/03/30-21:11:42   14.5889  359.5768  272.4206   89.0764     6606.9643     6557.2700     6656.6586  53.766399 -61.222124   0.005891   0.004677
1 00068U 60019  A 61019.69206429  .02230165 +00000-0 +00000-0 0  9994 | 2 00068 083.3999 075.4323 0097000 059.4404 301.0452 16.11424390004700 | 1961/01/19-16:36:34  112.2436  359.5273  300.0869   89.3619     6621.0757     6556.8513     6685.3001  20.977058  80.718687  -0.006844   0.006874
1 00069U 60014  C 70043.96232070  .03036540 +00000-0 +00000-0 0  9990 | 2 00069 049.2657 017.1807 0033130 020.6026 339.6235 15.95021175456721 | 1970/02/12-23:05:44  292.0575    0.0934  339.4908   90.2809     6666.3924     6644.3066     6688.4781  47.067362  14.552410   0.002618   0.002030
1 00070U 61001  A 73292.92472414  .01443247 +04320-2 +00000-0 0  9997 | 2 00070 097.2180 059.4674 0007333 251.3728 108.6719 16.34625053711865 | 1973/10/19-22:11:36  122.0405    0.1243  108.7515   88.0936     6558.2768     6553.4676     6563.0860  49.389517  83.737776   0.000480  -0.000555
1 00071U 61002  A 61047.49722528  .00429368 +00000-0 +00000-0 0  9996 | 2 00071 064.8999 143.3748 0088244 053.9095 306.5050 16.13209726002000 | 1961/02/16-11:56:00    2.4302  359.5964  305.6869   89.2630     6616.1898     6557.8059     6674.5737 -52.085750  38.717847  -0.008426  -0.002622
1 00072U 61002  B 61041.25747823  .01981552 +00000-0 +00000-0 0  9999 | 2 00072 064.9004 166.3199 0014185 050.9188 309.1453 16.20395132001007 | 1961/02/10-06:10:46  247.1407  359.9379  309.0191   88.8672     6596.6163     6587.2590     6605.9736 -63.059261  15.348990  -0.001129  -0.000858
