# SPACE DATA - CATALOG TLEs (nice format)
# Generated : 2026/03/21-13:43:36
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG      ARG_LAT     TANOM    PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------
1 41915U 17002C   25307.01955990  .09824273  25211-5  80465-3 0  9992 | 2 41915  97.1100 340.3214 0005056 183.3807 176.7459 16.39937900489044 | 2025/11/03-00:28:09  249.6285    0.1299  176.7492   87.8082     6544.1047     6540.7960     6547.4134  91.438425 -32.701171  -0.000485   0.000142
1 41916U 17002D   17198.46568659 +.24320087 +30913-5 +19868-3 0  9998 | 2 41916 097.4838 293.0916 0004861 165.3749 195.1766 16.52502953029909 | 2017/07/17-11:10:35  350.4240    0.5369  195.1620   87.1405     6510.8898     6507.7249     6514.0547  38.233367 -89.673301  -0.000072   0.000481
1 41917U 17003A   26080.53599790  .00000105  00000-0  30434-4 0  9990 | 2 41917  86.3954 125.2111 0002403 104.7281 255.4181 14.34218418480648 | 2026/03/21-12:51:50   66.6918    0.1196  255.3915  100.4031     7155.8019     7154.0824     7157.5215 -49.814777  70.587911  -0.000155  -0.000184
1 41918U 17003B   26080.52331241  .00000025  00000-0  17335-5 0  9992 | 2 41918  86.3959 125.1162 0001844  91.7828 268.3579 14.34217717480666 | 2026/03/21-12:33:34   62.2005    0.1196  268.3368  100.4032     7155.8043     7154.4847     7157.1238 -49.698080  70.670732  -0.000147  -0.000111
1 41919U 17003C   26080.52965564  .00000038  00000-0  64263-5 0  9990 | 2 41919  86.3958 125.1720 0002194  94.8627 265.2819 14.34217873480639 | 2026/03/21-12:42:42   64.4367    0.1195  265.2568  100.4032     7155.8037     7154.2338     7157.3737 -49.766825  70.622216  -0.000168  -0.000141
1 41920U 17003D   26080.56770432  .00000094  00000-0  26367-4 0  9998 | 2 41920  86.3955 125.0813 0002373  95.1390 265.0077 14.34222724480725 | 2026/03/21-13:37:29   78.2961    0.1196  264.9806  100.4028     7155.7876     7154.0895     7157.4857 -49.654794  70.700664  -0.000181  -0.000153
1 41921U 17003E   26080.53197087 -.00000159  00000-0 -63732-4 0  9996 | 2 41921  86.3914  93.5350 0002089  89.5688 270.5747 14.34397132482573 | 2026/03/21-12:46:02   96.9127    0.1196  270.5508  100.3906     7155.2076     7153.7128     7156.7023  -5.326743  86.227025  -0.000209  -0.000011
1 41922U 17003F   26080.58039543  .00000260  00000-0  85779-4 0  9990 | 2 41922  86.3957 125.1176 0002102  86.1065 274.0371 14.34219109480710 | 2026/03/21-13:55:46   82.8588    0.1196  274.0131  100.4031     7155.7996     7154.2955     7157.3038 -49.699692  70.669354  -0.000180  -0.000109
1 41923U 17003G   26080.58673871  .00000109  00000-0  31950-4 0  9993 | 2 41923  86.3958 125.0986 0002053  91.1386 269.0045 14.34218072480694 | 2026/03/21-14:04:54   85.1741    0.1196  268.9810  100.4031     7155.8031     7154.3340     7157.2722 -49.676312  70.685913  -0.000166  -0.000121
1 41924U 17003H   26080.54526000  .00000012  00000-0 -27194-5 0  9991 | 2 41924  86.3905  93.4193 0002369  91.2212 268.9255 14.34217578482541 | 2026/03/21-13:05:10  101.8347    0.1196  268.8984  100.4032     7155.8047     7154.1095     7157.4999  -5.152556  86.236707  -0.000236  -0.000019
1 41925U 17003J   26080.57405406  .00000231  00000-0  75287-4 0  9998 | 2 41925  86.3954 124.9499 0002215  91.0290 269.1159 14.34218350480711 | 2026/03/21-13:46:38   80.7293    0.1195  269.0905  100.4031     7155.8022     7154.2171     7157.3872 -49.492464  70.814272  -0.000179  -0.000130
1 41926U 17003K   26080.56136864  .00000019  00000-0 -18943-6 0  9990 | 2 41926  86.3956 125.0236 0002064  95.3558 264.7873 14.34217636480698 | 2026/03/21-13:28:22   76.0658    0.1195  264.7637  100.4032     7155.8045     7154.3276     7157.2815 -49.583627  70.750715  -0.000157  -0.000134
1 41927U 64083S   22199.80083352  .03480031  00000-0  52272-1 0  9994 | 2 41927  89.8135 138.7238 0031125 177.6158 182.5258 15.50607581361265 | 2022/07/18-19:13:12  266.3087    0.1259  182.5101   92.8668     6793.0880     6771.9445     6814.2315 -67.498278  59.249027   0.002252  -0.002149
1 41928U 16066H   21233.73547057  .04402670  20050-1  22720-1 0  9997 | 2 41928  98.7617 313.7739 0036881 257.0902 102.6242 15.83609381253133 | 2021/08/21-17:39:04  101.7743    0.1264  103.0362   90.9315     6698.3802     6673.6760     6723.0845  68.324758 -71.313399  -0.003166  -0.001892
1 41929U 15019C   26084.58727299 -.00000754  00000-0  00000-0 0  9997 | 2 41929  12.1763 103.2957 6854189 299.0920 358.2232  0.27915241 10531 | 2026/03/25-14:05:40  173.9402  286.1094  347.0174 5158.4724    98894.9815    31110.4921   166679.4710  -2.800265  11.849928   0.506250   0.462071
1 41930U 98067KS  17036.82401924  .10543534  11630-4  66545-2 0  9992 | 2 41930  51.6370 330.4291 0018165 124.4217 237.6627 16.16537350  3109 | 2017/02/05-19:46:35  280.5995    1.9087  237.4870   89.0793     6607.1071     6595.1053     6619.1089  44.911058 -25.482870  -0.000154   0.001810
1 41931U 98067KT  17290.98270503  .14164078  12479-4  76733-3 0  9998 | 2 41931  51.6104 115.9004 0006182 280.1451  79.8879 16.42240901 42996 | 2017/10/17-23:35:05   84.9718    0.1027   79.9576   87.6851     6537.9852     6533.9434     6542.0270 -22.543839  46.426379   0.000500   0.000364
1 41932U 98067KU  19003.69298287  .08988731  12526-4  32153-3 0  9994 | 2 41932  51.6105   8.9412 0001311 269.7383  90.3495 16.44586236112635 | 2019/01/03-16:37:53  163.6469    0.1028   90.3645   87.5600     6531.7678     6530.9115     6532.6242  50.983348   8.021343   0.000020  -0.000130
1 41933U 98067KV  18279.05129440  .08880754  12487-4  45483-3 0  9995 | 2 41933  51.6134 107.1518 0008522 281.0761  78.9308 16.42208149 98545 | 2018/10/06-01:13:51  106.5069    0.1028   79.0267   87.6868     6538.0721     6532.5004     6543.6439 -15.221015  49.317986   0.000751   0.000403
1 41934U 98067KW  17134.58632542 +.08429926 +12146-4 +22100-2 0  9997 | 2 41934 051.6182 194.2940 0005621 010.1440 349.6758 16.27713558018511 | 2017/05/14-14:04:18   69.5532  359.8082  349.6642   88.4677     6576.8286     6573.1317     6580.5254 -50.020183 -12.744406  -0.000512  -0.000233
1 41935U 98067KX  18305.47522705  .06673673  12387-4  58971-3 0  9997 | 2 41935  51.6243 332.8723 0002264  27.6675 118.1989 16.38373561102788 | 2018/11/01-11:24:19  274.0061  145.8893  118.2218   87.8920     6548.2696     6546.7871     6549.7522  45.945238 -23.539402   0.000226   0.000002
1 41936U 98067KY  17250.57341446  .07502361  12188-4  17908-2 0  9997 | 2 41936  51.6148 320.0413 0007592 348.0024  12.1012 16.28694591 36150 | 2017/09/07-13:45:43   53.1860    0.1219   12.1195   88.4144     6574.1873     6569.1962     6579.1784  39.563135 -33.148845   0.000468  -0.000598
1 41937U 17004A   26080.06170526  .00000127  00000-0  00000-0 0  9999 | 2 41937   2.0786  40.5956 0002255 313.5590 227.5389  1.00272032 33715 | 2026/03/21-01:28:51  159.6605  181.0788  227.5198 1436.0934    42164.6627    42155.1546    42174.1708   1.578325   1.352578   0.000224  -0.000023
1 41938U 17004B   19323.31558494  .49795426 -15199-4  51623-3 0  9990 | 2 41938  22.4917 300.6724 0180312 315.5236  85.8378 16.17663239 46816 | 2019/11/19-07:34:26   10.4284   43.4251   87.9015   89.0173     6604.0410     6484.9623     6723.1198  11.473661 -19.345069  -0.004302  -0.017510
1 41939U 98067KZ  18011.28402027 +.11925055 +12489-4 +54124-3 0  9997 | 2 41939 051.6147 038.9582 0001091 231.1728 128.9202 16.43639489055773 | 2018/01/11-06:48:59  354.7031    0.1027  128.9299   87.6105     6534.2758     6533.5629     6534.9887  40.135842  32.452911   0.000000  -0.000109
1 41942U 17006A   26079.97916750 -.00000242  00000-0  00000-0 0  9991 | 2 41942   0.0197 357.4283 0000990   2.0173 135.5582  1.00271664 33363 | 2026/03/20-23:30:00  216.4750  137.5834  135.5661 1436.0986    42164.7659    42160.5916    42168.9402   0.019680  -0.000884   0.000099  -0.000001
1 41943U 17006B   24177.00033565  .00009157 -28936-4  00000+0 0  9992 | 2 41943   5.2036 315.6612 0546908 194.0633 342.7898 15.24445037 96473 | 2024/06/25-00:00:29  321.7266  174.8700  340.8067   94.4606     6870.5894     6494.8314     7246.3474   3.721717  -3.636795  -0.047232   0.027573
1 41944U 17007A   26080.06711462 -.00000360  00000-0  00000-0 0  9990 | 2 41944   0.0128 134.8812 0002263 221.1633 324.7082  1.00271989 33259 | 2026/03/21-01:36:38   62.5577  185.8565  324.6932 1436.0940    42164.6748    42155.1329    42174.2166  -0.009032   0.009070   0.000226  -0.000016
1 41945U 17007B   26079.97769417 -.00000267  00000-0  00000-0 0  9998 | 2 41945   0.0197 152.6962 0000507 154.7927 179.7894  1.00270281 33349 | 2026/03/20-23:27:52  223.6642  334.5821  179.7894 1436.1184    42165.1536    42163.0158    42167.2914  -0.017505   0.009037   0.000031  -0.000040
1 41946U 17007C   26080.37991734  .00002419  00000-0  10499-2 0  9999 | 2 41946   4.2096 324.8483 7173589 101.1323 339.8092  2.40458172 77281 | 2026/03/21-09:07:04   90.7456  359.3665  258.2342  598.8568    23534.7080     6651.8758    40417.5402   3.441898  -2.423649   0.291998   0.655241
1 41947U 17007D   26080.31846679  .00296824  00000-0  71617-2 0  9995 | 2 41947   3.9606 252.4270 4602384 239.1220  67.6789  6.42813089107326 | 2026/03/21-07:38:35  275.0655    0.0068  120.8848  224.0154    12218.3352     6594.9881    17841.6822  -1.195787  -3.775771  -0.305258   0.344437
1 41948U 17008A   26078.71613315 -.00000289  00000-0 -10580-4 0  9991 | 2 41948  97.4217 139.6449 0004523 181.6805 178.4415 15.19174481503994 | 2026/03/19-17:11:13  115.5118    0.1234  178.4429   94.7883     6886.4712     6883.3565     6889.5860 -74.239814  63.082784   0.000353  -0.000283
1 41949U 17008B   23273.05802359  .15929182  24401-5  29377-3 0  9996 | 2 41949  97.1617 337.8334 0012978 265.2244  94.7577 16.46643497369460 | 2023/09/30-01:23:33  232.1666    0.1303   94.9059   87.4506     6526.3263     6517.8565     6534.7962  89.980545 -36.659206  -0.000588  -0.001157
1 41950U 17008C   23063.10172087  .15003667  24269-5  12660-2 0  9998 | 2 41950  97.2232 138.1064 0011457 274.4853  85.5137 16.39452679337431 | 2023/03/04-02:26:28  240.7061    0.1299   85.6446   87.8342     6545.3959     6537.8968     6552.8949 -72.371602  64.920735   0.000696   0.000910
1 41951U 17008D   23081.10723428  .15446534  24193-5  12444-2 0  9990 | 2 41951  97.1990 153.3956 0011789 270.7594  89.2355 16.39697655340016 | 2023/03/22-02:34:25  245.1610    0.1300   89.3706   87.8211     6544.7439     6537.0283     6552.4595 -86.907555  43.528410   0.000514   0.001061
1 41952U 17008E   23050.99800088  .16844598  24452-5  36673-3 0  9994 | 2 41952  97.2054 126.1180 0012785 281.3269  78.6597 16.45725098335553 | 2023/02/19-23:57:07  203.3372    0.1303   78.8034   87.4994     6528.7541     6520.4071     6537.1011 -57.297739  78.522983   0.000865   0.000942
1 41953U 17008F   22347.61432072  .01764756  23706-2  21629-2 0  9999 | 2 41953  97.2418  66.2129 0006155 297.3760  62.6896 16.08576328325487 | 2022/12/13-14:44:37   57.2579    0.1283   62.7523   89.5202     6628.8887     6624.8086     6632.9688  39.221438  88.981158   0.000614   0.000039
1 41954U 17008G   23284.31341033  .16929385  24410-5  25895-3 0  9997 | 2 41954  97.1578 348.7024 0014851 257.8197 102.1444 16.47540507371138 | 2023/10/11-07:31:18  324.5987    0.1304  102.3107   87.4030     6523.9573     6514.2685     6533.6460  95.275160 -19.033705  -0.000592  -0.001362
1 41955U 17008H   22347.65034326  .05776609  23386-5  19312-2 0  9992 | 2 41955  97.2253  62.0357 0007920 298.0112  62.0378 16.25723391325238 | 2022/12/13-15:36:29   74.4894    0.1292   62.1180   88.5760     6582.1949     6576.9818     6587.4080  45.591016  85.873268   0.000792   0.000001
1 41956U 17008J   23206.11195211  .11838591  24094-5  14037-2 0  9992 | 2 41956  97.2035 281.0910 0016660 273.0063  86.9328 16.36148998359529 | 2023/07/25-02:41:12  242.4324    0.1298   87.1235   88.0115     6554.2038     6543.2845     6565.1231  18.698826 -95.388020  -0.001616  -0.000406
1 41957U 17008K   22331.81507920  .15454591  24402-5  41554-3 0  9998 | 2 41957  97.2039  49.5649 0011622 276.7204  83.2775 16.44732495322964 | 2022/11/27-19:33:42  130.8698    0.1302   83.4098   87.5522     6531.3806     6523.7898     6538.9714  63.045118  73.985885   0.000967  -0.000645
1 41958U 17008L   22340.74143654  .03052624  21448-1  28968-2 0  9995 | 2 41958  97.2513  58.9676 0009038 302.5225  57.5188 16.15877353324252 | 2022/12/06-17:47:40  103.6410    0.1287   57.6062   89.1157     6608.9061     6602.9329     6614.8792  50.135254  83.332297   0.000903   0.000024
1 41959U 17008M   23007.55971685  .02579228  13269-1  24372-2 0  9999 | 2 41959  97.2369  87.5017 0007019 291.9002  68.1538 16.15386535328999 | 2023/01/07-13:25:59   40.8559    0.1287   68.2285   89.1428     6610.2447     6605.6050     6614.8844   4.238532  97.144478   0.000662   0.000233
1 41960U 17008N   23032.07421449  .12621667  24412-5  86803-3 0  9994 | 2 41960  97.2284 110.8491 0006488 270.2372  89.8185 16.41113568332796 | 2023/02/01-01:46:52  227.3974    0.1300   89.8928   87.7453     6540.9789     6536.7351     6545.2227 -34.604359  90.861984   0.000605   0.000233
1 41961U 17008P   22341.19945794  .06676847  23460-5  17325-2 0  9991 | 2 41961  97.2141  56.8987 0008131 294.5035  65.5411 16.28615467324244 | 2022/12/07-04:47:13  271.4970    0.1294   65.6259   88.4187     6574.4002     6569.0546     6579.7459  53.090658  81.436867   0.000804  -0.000122
1 41962U 17008Q   22316.92957665  .08435006  23769-5  17873-2 0  9997 | 2 41962  97.2316  33.3946 0010112 286.7007  73.3178 16.30749369320489 | 2022/11/12-22:18:35  173.6813    0.1295   73.4288   88.3030     6568.6637     6562.0215     6575.3059  81.178638  53.516472   0.000776  -0.000649
1 41963U 17008R   22361.45765482  .12947751  24043-5  12285-2 0  9998 | 2 41963  97.2195  76.8155 0010284 282.6797  77.3352 16.38492647327320 | 2022/12/27-10:59:01    4.7819    0.1299   77.4502   87.8857     6547.9523     6541.2184     6554.6863  22.174551  94.656856   0.001028  -0.000009
1 41964U 17008S   23009.93860316  .08396415  23408-5  23054-2 0  9994 | 2 41964  97.2229  90.2432 0007629 294.4575  65.5922 16.27996331329412 | 2023/01/09-22:31:35  177.2369    0.1293   65.6718   88.4523     6576.0670     6571.0501     6581.0838  -0.412675  97.222024   0.000693   0.000319
1 41965U 17008T   23015.14288041  .11389157  25098-5  16172-2 0  9993 | 2 41965  97.2579  89.1410 0004538 238.7011 131.2955 16.34947824329874 | 2023/01/15-03:25:44  247.2606   10.0357  131.3346   88.0762     6557.4136     6554.4378     6560.3893   1.458073  97.246970   0.000384  -0.000242
1 41966U 17008U   23021.64543160  .42658261  25422-5  10838-2 0  9995 | 2 41966  97.2179  94.6482 0008572 259.6471 234.6999 16.45399332330713 | 2023/01/21-15:29:25  304.2428  134.2669  234.6198   87.5167     6529.6158     6524.0186     6535.2130  -7.878289  96.898156   0.000853  -0.000085
1 41967U 17008V   22308.89936178  .08323624  23427-5  27929-2 0  9991 | 2 41967  97.2283  26.7304 0009123 291.4059  68.6260 16.25647829319367 | 2022/11/04-21:35:04  161.5082    0.1293   68.7234   88.5801     6582.3989     6576.3938     6588.4040  86.837790  43.732603   0.000679  -0.000609
1 41968U 17008W   23076.94329130  .34309221  24679-5  70325-3 0  9990 | 2 41968  97.1924 148.4165 0012691 262.6704 206.3131 16.46073616339154 | 2023/03/17-22:38:20   77.8649  108.9191  206.2487   87.4809     6527.8325     6519.5481     6536.1170 -82.796047  50.903606   0.000797   0.000987
1 41969U 17008X   22341.14583960  .05615485  23261-5  22792-2 0  9990 | 2 41969  97.2265  55.1709 0006914 297.1750  62.8836 16.23410034324095 | 2022/12/07-03:30:00  253.8010    0.1291   62.9541   88.7022     6588.4465     6583.8913     6593.0018  55.529024  79.809271   0.000685  -0.000092
1 41970U 17008Y   22301.50530516  .10818263  24195-5  13660-2 0  9993 | 2 41970  97.2282  20.6281 0010839 267.7296  92.2761 16.35877851318305 | 2022/10/28-12:07:38   18.1021    0.1298   92.4002   88.0261     6554.9280     6547.8231     6562.0329  90.994595  34.253561   0.000341  -0.001029
1 41971U 17008Z   22340.87559052  .08903445  23695-5  14536-2 0  9994 | 2 41971  97.2368  57.1024 0008408 299.4183  60.6273 16.33483262324106 | 2022/12/06-21:00:51  154.0622    0.1296   60.7113   88.1552     6561.3325     6555.8158     6566.8493  52.813125  81.644161   0.000839  -0.000051
1 41972U 17008AA  23013.35407500  .28302370  25897-5  74572-3 0  9991 | 2 41972  97.2228  86.4904 0011911 157.7872 202.7144 16.44802089329529 | 2023/01/13-08:29:52  333.8846    0.4490  202.6618   87.5485     6531.1964     6523.4171     6538.9757   5.951569  97.040464  -0.000517  -0.001073
1 41973U 17008AB  23025.07633915  .13999023  24084-5  90493-3 0  9993 | 2 41973  97.2206 103.4131 0009409 283.2157  76.8093 16.40946406331689 | 2023/01/25-01:49:55  228.7312    0.1300   76.9143   87.7542     6541.4231     6535.2683     6547.5780 -22.552293  94.568701   0.000841   0.000422
1 41974U 17008AC  23006.45612527  .14994801  24604-5  69360-3 0  9998 | 2 41974  97.1985  86.5948 0016999 342.4641  17.6071 16.41297435328809 | 2023/01/06-10:56:49    4.2497    0.1302   17.6661   87.7355     6540.4904     6529.3722     6551.6086   5.773296  97.026890   0.000608   0.001588
1 41975U 17008AD  23007.97400921  .15190833  24112-5  64828-3 0  9992 | 2 41975  97.2166  80.8345 0008943 282.8239  77.2063 16.42818723328577 | 2023/01/07-23:22:34  197.5094    0.1302   77.3063   87.6542     6536.4520     6530.6065     6542.2976  15.485318  95.975373   0.000892   0.000057
1 41976U 17008AE  23066.06140468  .21223493  23898-5  13079-2 0  9992 | 2 41976  97.2096 141.8676 0010772 286.6221  73.4504 16.40946919337082 | 2023/03/07-01:28:25  225.2363    0.1909   73.5688   87.7542     6541.4218     6534.3754     6548.4682 -76.463708  60.025059   0.000395   0.001002
1 41977U 17008AF  23003.48275040  .15948809  24166-5  79860-3 0  9993 | 2 41977  97.1911  77.7923 0014377 297.4510  72.2978 16.41323660328159 | 2023/01/03-11:35:09   10.0535    9.9058   72.4548   87.7341     6540.4208     6531.0176     6549.8239  20.551656  94.993365   0.001387   0.000378
1 41978U 17008AG  23012.83338757  .34021852  27674-5  48057-3 0  9990 | 2 41978  97.2006  86.8604 0021545 345.6480 107.2186 16.47223603329423 | 2023/01/12-20:00:04   52.6731   93.1022  107.4542   87.4198     6524.7940     6510.7363     6538.8517   5.323574  97.054707   0.000648   0.002055
1 41979U 17008AH  23007.46901250  .14024236  24357-5  67628-3 0  9995 | 2 41979  97.2367  87.3924 0010973 282.0972  77.9099 16.41985719329061 | 2023/01/07-11:15:22    9.1648    0.1301   78.0329   87.6987     6538.6625     6531.4877     6545.8374   4.423832  97.136016   0.001082   0.000181
1 41980U 17008AJ  23078.04276672  .15264798  24261-5  87809-3 0  9999 | 2 41980  97.2111 153.4793 0011015 275.2694  84.7350 16.41204646339534 | 2023/03/19-01:01:35  218.7754    0.1301   84.8607   87.7404     6540.7369     6533.5323     6547.9416 -86.981877  43.406808   0.000399   0.001027
1 41981U 17008AK  22331.48492736  .12980554  24078-5  12676-2 0  9997 | 2 41981  97.2487  50.4637 0010556 292.3560  67.6620 16.38226878322961 | 2022/11/27-11:38:17   11.4316    0.1299   67.7739   87.8999     6548.6605     6541.7477     6555.5733  61.905309  75.000282   0.001008  -0.000312
1 41982U 17008AL  23006.45605911  .12126825  23873-5  14197-2 0  9991 | 2 41982  97.2310  88.1962 0008767 287.9628  72.0714 16.36661208327981 | 2023/01/06-10:56:43    2.6602    0.1298   72.1670   87.9840     6552.8362     6547.0914     6558.5811   3.060545  97.182820   0.000842   0.000244
1 41983U 17008AM  22357.96740151  .07500983  23452-5  23673-2 0  9999 | 2 41983  97.2235  74.3854 0008091 287.3066  72.7341 16.26392501326815 | 2022/12/23-23:13:03  186.7711    0.1293   72.8227   88.5395     6580.3895     6575.0653     6585.7137  26.169187  93.635370   0.000809   0.000024
1 41984U 17008AN  23036.99600642  .19370935  22847-5  34430-3 0  9994 | 2 41984  97.2052 114.3635 0009709 349.0115  11.0975 16.47225819333337 | 2023/02/05-23:54:14  200.4454    0.1304   11.1189   87.4197     6524.7881     6518.4532     6531.1230 -40.099497  88.548751  -0.000225   0.000945
1 41985U 17008AP  23046.18648262  .04700157  23154-5  27915-2 0  9995 | 2 41985  97.2366 122.9448 0006046 287.2084  72.8542 16.18524862334695 | 2023/02/15-04:28:32  269.7318    0.1288   72.9204   88.9699     6601.6971     6597.7057     6605.6884 -52.880257  81.600458   0.000387   0.000464
1 41986U 17008AQ  23022.62435848  .08507445  23558-5  17646-2 0  9990 | 2 41986  97.2190 100.9030 0009632 300.6316  59.4028 16.30991185330681 | 2023/01/22-14:59:04   65.6572    0.1295   59.4979   88.2899     6568.0144     6561.6881     6574.3407 -18.388668  95.464081   0.000721   0.000639
1 41987U 17008AR  23046.47666882  .02540519  10485-1  25008-2 0  9999 | 2 41987  97.2370 124.6642 0005715 295.9460  64.1237 16.14062087334825 | 2023/02/15-11:26:24   13.0440    0.1286   64.1826   89.2159     6613.8603     6610.0805     6617.6401 -55.305072  79.977392   0.000280   0.000498
1 41988U 17008AS  23039.78230653  .36041499  24913-5  41235-3 0  9995 | 2 41988  97.2352 113.4114 0015350 213.0386 155.1432 16.49335855333023 | 2023/02/08-18:46:31  118.9312    8.2556  155.2170   87.3079     6519.2221     6509.2151     6529.2291 -38.634509  89.230369   0.001279  -0.000848
1 41989U 17008AT  23024.81734864  .15865886  24286-5  60572-3 0  9996 | 2 41989  97.2142 103.0179 0010259 278.4991  81.5148 16.43162363331027 | 2023/01/24-19:36:58  135.3895    0.1302   81.6311   87.6359     6535.5407     6528.8359     6542.2455 -21.898028  94.715770   0.000954   0.000376
1 41990U 17008AU  23080.30540855  .14203754  24303-5  84460-3 0  9990 | 2 41990  97.2011 149.5668 0012706 268.0020  91.9825 16.40812839339009 | 2023/03/21-07:19:47  319.7469    0.1300   92.1280   87.7614     6541.7781     6533.4662     6550.0901 -83.808762  49.235610   0.000681   0.001072
1 41991U 17008AV  23189.39214855  .10647790  23967-5  65652-3 0  9993 | 2 41991  97.1564 255.5952 0016873 263.9339  96.0038 16.40017505355874 | 2023/07/08-09:24:41  352.5968    0.1299   96.1960   87.8039     6543.8929     6532.8514     6554.9345 -24.169698 -94.102029  -0.001581   0.000590
1 41992U 17008AW  23136.63237288  .18434498  24566-5  23055-3 0  9992 | 2 41992  97.1933 209.3200 0021729 269.7484  90.1330 16.48000606348042 | 2023/05/16-15:10:37   72.6603    0.1304   90.3820   87.3786     6522.7429     6508.5697     6536.9162 -84.742682 -47.594279  -0.001056   0.001899
1 41993U 17008AX  23306.61240317  .13998150  24279-5  20717-3 0  9995 | 2 41993  97.1352  13.6249 0012037 268.3257  91.6669 16.48057962374094 | 2023/11/02-14:41:51   68.5732    0.1305   91.8048   87.3756     6522.5916     6514.7404     6530.4428  94.401691  22.881604   0.000249  -0.001178
1 41994U 17008AY  23141.44322872  .07358207  23785-5  11511-2 0  9999 | 2 41994  97.1804 213.6148 0015460 262.8527  97.1012 16.33596085348765 | 2023/05/21-10:38:14    5.7381    0.1297   97.2770   88.1491     6561.0304     6550.8871     6571.1738 -80.929725 -53.799719  -0.000689   0.001384
1 41995U 17008AZ  23330.47488252  .15388721  24325-5  30050-3 0  9992 | 2 41995  97.1563  37.3002 0011591 268.5018  91.4958 16.46478059378412 | 2023/11/26-11:23:49   19.7546    0.1304   91.6286   87.4594     6526.7635     6519.1983     6534.3287  77.285055  58.875861   0.000678  -0.000940
1 41996U 17008BA  23154.99357619  .15059663  24453-5  27329-3 0  9993 | 2 41996  97.1871 227.8495 0016359 255.6535 104.2953 16.46327993350750 | 2023/06/03-23:50:44  202.5462    0.1304  104.4769   87.4674     6527.1601     6516.4823     6537.8379 -65.220351 -72.053024  -0.000903   0.001364
1 41997U 17008BB  23144.13429872  .11406969  24188-5  62831-3 0  9993 | 2 41997  97.1822 217.6525 0014603 268.0755  91.8873 16.40862598349232 | 2023/05/24-03:13:23  252.8270    0.1300   92.0545   87.7587     6541.6459     6532.0931     6551.1986 -76.942086 -59.365776  -0.000853   0.001185
1 41998U 17008BC  23318.45457193  .05329865  23261-5  13974-2 0  9995 | 2 41998  97.1552  24.5026 0007428 276.5389  83.5059 16.28519529375757 | 2023/11/14-10:54:35   13.3289    0.1294   83.5905   88.4239     6574.6584     6569.7748     6579.5421  88.405641  40.293617   0.000383  -0.000636
1 41999U 17008BD  23055.12209848  .15866669  24352-5  11096-2 0  9994 | 2 41999  97.2185 134.6531 0010342 270.1093  89.9022 16.40486175335767 | 2023/02/24-02:55:49  243.6394    0.1300   90.0207   87.7789     6542.6465     6535.8801     6549.4129 -68.326390  69.158811   0.000734   0.000728
1 42000U 17008BE  24193.14122659  .03664044  23375-5  67438-3 0  9994 | 2 42000  97.1246 256.7610 0012848 257.1819 102.8042 16.32105501412648 | 2024/07/11-03:23:21  264.2585    0.1296  102.9477   88.2296     6565.0246     6556.5898     6573.4593 -22.242846 -94.543343  -0.001154   0.000564
1 42001U 17008BF  23032.13191889  .10279149  23124-5  15488-2 0  9991 | 2 42001  97.2505 105.5519 0007441 350.3921  11.9020 16.34304314332361 | 2023/02/01-03:09:57  251.3408    2.3117   11.9196   88.1109     6559.1348     6554.2542     6564.0155 -26.073943  93.689963  -0.000077   0.000740
1 42002U 17008BG  22355.18380102  .07130718  23807-5  17082-2 0  9996 | 2 42002  97.2527  72.6208 0008080 285.1476  74.8924 16.29494995326616 | 2022/12/21-04:24:40  263.9102    0.1294   74.9818   88.3709     6572.0343     6566.7241     6577.3445  29.048833  92.813000   0.000807  -0.000031
1 42003U 17008BH  23051.91637590  .15377764  24471-5  44704-3 0  9991 | 2 42003  97.2082 127.3899 0012243 273.1997  86.7904 16.44248317335362 | 2023/02/20-21:59:34  173.4990    0.1302   86.9305   87.5780     6532.6627     6524.6648     6540.6607 -59.028298  77.234022   0.000930   0.000797
1 42004U 17008BJ  22353.16065207  .06420255  23405-5  20211-2 0  9999 | 2 42004  97.2269  69.4487 0008217 299.7655  60.2820 16.26418790326098 | 2022/12/19-03:51:20  256.7246    0.1293   60.3638   88.5381     6580.3186     6574.9115     6585.7256  34.131104  91.039210   0.000811   0.000132
1 42005U 17008BK  22363.15327628  .13317660  24618-5  98117-3 0  9999 | 2 42005  97.2274  80.2260 0006159 263.6442  96.4157 16.40798684327827 | 2022/12/29-03:40:43  253.1226    0.1300   96.4858   87.7621     6541.8158     6537.7867     6545.8449  16.505549  95.816148   0.000592  -0.000171
