NORAD_ID	bol	mission_start_date	stop_ops_date	demise_date
000047639	2/16/2021	2/16/2021	1/23/2025	1/23/2025
000047674	2/16/2021	2/16/2021	1/17/2025	1/17/2025
000048030	3/24/2021	3/24/2021	1/17/2025	1/17/2025
000049395	11/9/2021	11/9/2021	1/25/2025	1/25/2025
000055257	1/15/2023	1/15/2023	1/24/2025	1/24/2025
000056990	6/12/2023	6/12/2023	1/25/2025	1/25/2025
000062265	12/6/2024	12/6/2024	1/25/2025	1/25/2025
000043992	9/17/2014	9/17/2014		
000002660	1/18/1967	1/18/1967		
000027045	1/27/1989	1/27/1989		
000028972	10/31/1979	10/31/1979	8/2/2023	8/2/2023
000029173	8/10/1965	8/10/1965		
000030319	5/10/1999	5/10/1999	1/28/2025	1/28/2025
000031771	5/10/1999	5/10/1999	8/31/2024	8/31/2024
000032235	5/10/1999	5/10/1999	9/10/2024	9/10/2024
000033549	1/27/1989	1/27/1989		
000033570	1/27/1989	1/27/1989		
000033576	1/27/1989	1/27/1989		
000033577	1/27/1989	1/27/1989		
000033919	6/16/1993	6/16/1993	1/28/2025	1/28/2025
000034183	7/30/1992	7/30/1992		
000034773	9/14/1997	9/14/1997	9/21/2024	9/21/2024
000035344	10/22/2001	10/22/2001		
000035477	9/14/1997	9/14/1997	9/29/2023	9/29/2023
000035900	6/16/1993	6/16/1993	1/11/2025	1/11/2025
000036566	9/14/1997	9/14/1997	10/18/2024	10/18/2024
000036880	6/25/1993	6/25/1993	11/27/2024	11/27/2024
000037169	9/26/2010	9/26/2010	10/5/2024	10/5/2024
000037660	3/5/1978	3/5/1978		
000037929	5/10/1999	5/10/1999	9/12/2024	9/12/2024
000038229	9/14/1997	9/14/1997		
000038888	8/6/2012	8/6/2012	9/9/2024	9/9/2024
000042052	2/15/2017	2/15/2017	10/6/2024	10/6/2024
000042331	3/24/1995	3/24/1995		
000042404	9/21/2000	9/21/2000	9/4/2024	9/4/2024
000042486	1/27/1989	1/27/1989		
000042513	4/8/1970	4/8/1970		
000043629	11/20/2013	11/20/2013		
000043838	12/7/2018	12/7/2018	9/10/2024	9/10/2024
000044036	2/5/2019	2/5/2019	8/15/2024	8/15/2024
000044746	11/11/2019	11/11/2019	9/7/2024	9/7/2024
000044835	11/25/2019	11/25/2019	8/26/2024	8/26/2024
000044863	12/11/2019	12/11/2019	9/18/2024	9/18/2024
000045103	1/29/2020	1/29/2020	8/25/2024	8/25/2024
000045199	2/17/2020	2/17/2020	9/7/2024	9/7/2024
000045234	2/17/2020	2/17/2020	9/1/2024	9/1/2024
000045372	3/18/2020	3/18/2020	9/7/2024	9/7/2024
000045547	4/22/2020	4/22/2020	9/8/2024	9/8/2024
000045709	6/4/2020	6/4/2020	8/29/2024	8/29/2024
000045732	6/13/2020	6/13/2020	9/2/2024	9/2/2024
000045777	6/13/2020	6/13/2020	1/28/2025	1/28/2025
000045779	6/13/2020	6/13/2020	1/28/2025	1/28/2025
000045788	6/13/2020	6/13/2020	8/30/2024	8/30/2024
000045868	7/18/2011	7/18/2011	6/17/2022	6/17/2022
000046500	9/28/2020	9/28/2020	10/9/2024	10/9/2024
000046502	9/28/2020	9/28/2020	10/9/2024	10/9/2024
000046547	10/6/2020	10/6/2020	9/7/2024	9/7/2024
000046842	10/17/2018	10/17/2018		
000047463	1/24/2021	1/24/2021	9/15/2024	9/15/2024
000047522	1/24/2021	1/24/2021	9/27/2024	9/27/2024
000047551	2/4/2021	2/4/2021	1/28/2025	1/28/2025
000047599	2/4/2021	2/4/2021	8/28/2024	8/28/2024
000047835	3/11/2021	3/11/2021	8/31/2024	8/31/2024
000048085	3/22/2021	3/22/2021	1/28/2025	1/28/2025
000048191	9/25/2019	9/25/2019	10/9/2024	10/9/2024
000048372	5/4/2021	5/4/2021	8/29/2024	8/29/2024
000048389	5/4/2021	5/4/2021	8/29/2024	8/29/2024
000048402	5/4/2021	5/4/2021	8/30/2024	8/30/2024
000048879	6/30/2021	6/30/2021	8/30/2024	8/30/2024
000048944	6/30/2021	6/30/2021	10/9/2024	10/9/2024
000049928	5/23/2014	5/23/2014		
000050123	9/16/1982	9/16/1982	9/27/2024	9/27/2024
000050826	1/6/2022	1/6/2022	9/5/2024	9/5/2024
000050833	1/6/2022	1/6/2022	9/29/2024	9/29/2024
000052040	10/17/2018	10/17/2018		
000052613	5/14/2022	5/14/2022	9/18/2024	9/18/2024
000052734	5/25/2022	5/25/2022	9/14/2024	9/14/2024
000052881	6/17/2022	6/17/2022	9/2/2024	9/2/2024
000054829	12/28/2022	12/28/2022	9/19/2024	9/19/2024
000055050	1/3/2023	1/3/2023	9/3/2024	9/3/2024
000055094	1/3/2023	1/3/2023	9/18/2024	9/18/2024
000055261	1/15/2023	1/15/2023	11/27/2024	11/27/2024
000055330	1/26/2023	1/26/2023	10/7/2024	10/7/2024
000055697	2/27/2023	2/27/2023	8/23/2024	8/23/2024
000055700	2/27/2023	2/27/2023	8/16/2024	8/16/2024
000055709	2/27/2023	2/27/2023	8/30/2024	8/30/2024
000056691	5/19/2023	5/19/2023	9/10/2024	9/10/2024
000056941	6/12/2023	6/12/2023	1/28/2025	1/28/2025
000057287	9/16/1982	9/16/1982	6/12/2023	6/12/2023
000058799	1/15/2024	1/15/2024	8/30/2024	8/30/2024
000058805	1/15/2024	1/15/2024	9/1/2024	9/1/2024
000058888	1/29/2024	1/29/2024	9/9/2024	9/9/2024
000058961	2/15/2024	2/15/2024	8/13/2024	8/13/2024
000060253	6/20/1987	6/20/1987	10/4/2024	10/4/2024
000060254	6/20/1987	6/20/1987	10/4/2024	10/4/2024
000060637	8/6/2024	8/6/2024	1/3/2025	1/3/2025
000060809	8/6/2024	8/6/2024	9/4/2024	9/4/2024
000060835	8/6/2024	8/6/2024	1/3/2025	1/3/2025
000060869	8/6/2024	8/6/2024	1/6/2025	1/6/2025
000060958	11/20/1998	11/20/1998	12/18/2024	12/18/2024
000060973	8/6/2024	8/6/2024	1/25/2025	1/25/2025
000060978	8/6/2024	8/6/2024	1/16/2025	1/16/2025
000061091	8/6/2024	8/6/2024	1/4/2025	1/4/2025
000061374	8/6/2024	8/6/2024	1/22/2025	1/22/2025
000061392	8/6/2024	8/6/2024	1/3/2025	1/3/2025
000061394	8/6/2024	8/6/2024	10/9/2024	10/9/2024
000061411	8/6/2024	8/6/2024	1/11/2025	1/11/2025
000061506	9/27/2024	9/27/2024	1/9/2025	1/9/2025
000061792	11/5/2024	11/5/2024	12/3/2024	12/3/2024
000017716	4/8/1970	4/8/1970	1/29/2025	1/29/2025
000030147	5/10/1999	5/10/1999	1/29/2025	1/29/2025
000034107	9/14/1997	9/14/1997	1/29/2025	1/29/2025
000055482	2/2/2023	2/2/2023	1/29/2025	1/29/2025
000061285	8/6/2024	8/6/2024	1/29/2025	1/29/2025
000046772	10/24/2020	10/24/2020	1/30/2025	1/30/2025
000046868	10/17/2018	10/17/2018		
000062608	11/5/2024	11/5/2024	1/29/2025	1/29/2025
000026268	10/14/1999	10/14/1999	1/31/2025	1/31/2025
000034102	9/14/1997	9/14/1997	1/31/2025	1/31/2025
000038793	5/10/1999	5/10/1999	1/31/2025	1/31/2025
000042313	3/24/1995	3/24/1995	1/31/2025	1/31/2025
000048938	6/30/2021	6/30/2021	1/31/2025	1/31/2025
000000446	10/31/1962	10/31/1962		
000000614	6/27/1963	6/27/1963	8/13/2024	8/13/2024
000002532	5/9/1963	5/9/1963		
000004394	4/28/1970	4/28/1970	10/25/2024	10/25/2024
000004769	4/8/1970	4/8/1970	9/28/2024	9/28/2024
000005063	4/8/1970	4/8/1970	11/8/2024	11/8/2024
000005189	10/23/1970	10/23/1970	8/14/2024	8/14/2024
000005808	6/29/1961	6/29/1961	10/11/2024	10/11/2024
000008908	4/8/1970	4/8/1970	10/22/2024	10/22/2024
000009704	7/15/1976	7/15/1976	11/6/2024	11/6/2024
000010970	6/28/1978	6/28/1978	11/14/2024	11/14/2024
000011587	1/17/1978	1/17/1978	11/20/2024	11/20/2024
000012155	1/27/1981	1/27/1981	8/23/2024	8/23/2024
000012755	6/4/1981	6/4/1981	7/26/2024	7/26/2024
000012854	12/2/1970	12/2/1970	11/8/2024	11/8/2024
000013479	6/4/1981	6/4/1981	7/25/2024	7/25/2024
000013552	9/16/1982	9/16/1982	10/27/2024	10/27/2024
000014631	7/24/1983	7/24/1983	7/26/2024	7/26/2024
000014735	10/31/1981	10/31/1981		
000014756	12/21/1965	12/21/1965	7/30/2024	7/30/2024
000014819	3/15/1984	3/15/1984	7/23/2024	7/23/2024
000015830	6/18/1985	6/18/1985	8/1/2024	8/1/2024
000016495	1/17/1986	1/17/1986	10/30/2024	10/30/2024
000016993	10/3/1986	10/3/1986	10/30/2024	10/30/2024
000017316	2/22/1986	2/22/1986	11/14/2024	11/14/2024
000017719	4/8/1970	4/8/1970	11/14/2024	11/14/2024
000018650	8/28/1979	8/28/1979	11/1/2024	11/1/2024
000018733	2/20/1987	2/20/1987	11/14/2024	11/14/2024
000019561	11/1/1968	11/1/1968	11/16/2024	11/16/2024
000019822	2/21/1989	2/21/1989	11/26/2024	11/26/2024
000021826	12/18/1991	12/18/1991	11/26/2024	11/26/2024
000022356	12/25/1992	12/25/1992	8/9/2024	8/9/2024
000022849	12/18/1992	12/18/1992	8/17/2024	8/17/2024
000023370	8/8/1989	8/8/1989		
000024163	5/19/1994	5/19/1994	11/6/2024	11/6/2024
000026284	10/14/1999	10/14/1999	8/19/2024	8/19/2024
000026675	6/14/1980	6/14/1980		
000026809	7/21/1988	7/21/1988		
000026980	12/25/1992	12/25/1992	8/5/2024	8/5/2024
000027119	10/22/2001	10/22/2001	8/27/2024	8/27/2024
000027127	10/22/2001	10/22/2001	10/19/2024	10/19/2024
000027129	10/22/2001	10/22/2001	8/20/2024	8/20/2024
000027218	10/22/2001	10/22/2001	11/5/2024	11/5/2024
000027892	9/6/1978	9/6/1978		
000028430	10/22/2001	10/22/2001	8/29/2024	8/29/2024
000028851	10/22/2001	10/22/2001	11/30/2024	11/30/2024
000029087	11/28/1991	11/28/1991	11/16/2024	11/16/2024
000030030	5/10/1999	5/10/1999	11/5/2024	11/5/2024
000030343	5/10/1999	5/10/1999	11/6/2024	11/6/2024
000030508	5/10/1999	5/10/1999	10/30/2024	10/30/2024
000030554	5/10/1999	5/10/1999	7/24/2024	7/24/2024
000030593	5/10/1999	5/10/1999	11/13/2024	11/13/2024
000030752	5/10/1999	5/10/1999	11/19/2024	11/19/2024
000030902	5/10/1999	5/10/1999		
000030985	5/10/1999	5/10/1999		
000031173	5/10/1999	5/10/1999		
000031227	5/10/1999	5/10/1999	11/1/2024	11/1/2024
000031291	5/10/1999	5/10/1999	11/13/2024	11/13/2024
000031292	5/10/1999	5/10/1999	11/20/2024	11/20/2024
000031304	4/25/2007	4/25/2007	8/19/2024	8/19/2024
000031488	5/10/1999	5/10/1999	9/2/2024	9/2/2024
000031502	5/10/1999	5/10/1999		
000031756	5/10/1999	5/10/1999		
000031774	5/10/1999	5/10/1999		
000031847	5/10/1999	5/10/1999		
000031873	10/14/1999	10/14/1999	9/29/2024	9/29/2024
000032146	5/10/1999	5/10/1999		
000032148	5/10/1999	5/10/1999	8/28/2024	8/28/2024
000032227	5/10/1999	5/10/1999	11/20/2024	11/20/2024
000032303	5/10/1999	5/10/1999		
000032313	5/10/1999	5/10/1999		
000032433	5/10/1999	5/10/1999	7/29/2024	7/29/2024
000033155	7/7/2008	7/7/2008	12/31/2024	12/31/2024
000033503	6/4/1981	6/4/1981	10/11/2024	10/11/2024
000033508	5/18/1967	5/18/1967	8/23/2024	8/23/2024
000033643	5/10/1999	5/10/1999	11/27/2024	11/27/2024
000033683	5/10/1999	5/10/1999	12/6/2024	12/6/2024
000033697	5/10/1999	5/10/1999		
000033735	5/10/1999	5/10/1999	9/18/2024	9/18/2024
000033952	9/14/1997	9/14/1997	8/9/2024	8/9/2024
000034000	6/16/1993	6/16/1993	10/30/2024	10/30/2024
000034051	6/16/1993	6/16/1993	8/18/2024	8/18/2024
000034142	6/16/1993	6/16/1993	11/8/2024	11/8/2024
000034181	7/9/1992	7/9/1992		
000034242	2/28/2006	2/28/2006		
000034257	2/28/2006	2/28/2006		
000034331	6/16/1993	6/16/1993	10/14/2024	10/14/2024
000034358	9/14/1997	9/14/1997	10/30/2024	10/30/2024
000034439	6/16/1993	6/16/1993	11/13/2024	11/13/2024
000034524	9/14/1997	9/14/1997	8/21/2024	8/21/2024
000034555	6/16/1993	6/16/1993	10/30/2024	10/30/2024
000034638	6/16/1993	6/16/1993	10/30/2024	10/30/2024
000034639	6/16/1993	6/16/1993	10/19/2024	10/19/2024
000034724	6/16/1993	6/16/1993	1/16/2025	1/16/2025
000034751	6/16/1993	6/16/1993	10/11/2024	10/11/2024
000034825	9/14/1997	9/14/1997	8/17/2024	8/17/2024
000034977	6/16/1993	6/16/1993	11/20/2024	11/20/2024
000034991	6/16/1993	6/16/1993	8/6/2024	8/6/2024
000035146	5/10/1999	5/10/1999	8/13/2024	8/13/2024
000035225	5/10/1999	5/10/1999	1/16/2025	1/16/2025
000035282	6/16/1993	6/16/1993	11/13/2024	11/13/2024
000035341	10/22/2001	10/22/2001	11/30/2024	11/30/2024
000035474	6/16/1993	6/16/1993	11/8/2024	11/8/2024
000035584	6/16/1993	6/16/1993	1/3/2025	1/3/2025
000035658	6/16/1993	6/16/1993	8/12/2024	8/12/2024
000035726	6/16/1993	6/16/1993	12/21/2024	12/21/2024
000035775	6/16/1993	6/16/1993	11/20/2024	11/20/2024
000035788	6/16/1993	6/16/1993	10/11/2024	10/11/2024
000035796	6/16/1993	6/16/1993		
000035881	6/16/1993	6/16/1993	11/13/2024	11/13/2024
000035955	9/26/1993	9/26/1993	7/23/2024	7/23/2024
000035976	6/16/1993	6/16/1993	1/25/2025	1/25/2025
000036119	12/14/2009	12/14/2009	11/2/2024	11/2/2024
000036266	5/10/1999	5/10/1999	1/25/2025	1/25/2025
000036327	3/25/1982	3/25/1982		
000036476	6/16/1993	6/16/1993	8/16/2024	8/16/2024
000036485	9/14/1997	9/14/1997	11/8/2024	11/8/2024
000036530	6/16/1993	6/16/1993	8/16/2024	8/16/2024
000036531	6/16/1993	6/16/1993		
000036630	6/16/1993	6/16/1993	11/26/2024	11/26/2024
000036703	5/10/1999	5/10/1999		
000036735	5/10/1999	5/10/1999	11/30/2024	11/30/2024
000036901	10/31/1979	10/31/1979	9/9/2024	9/9/2024
000037007	5/10/1999	5/10/1999	1/3/2025	1/3/2025
000037086	6/16/1993	6/16/1993	10/13/2024	10/13/2024
000037105	6/16/1993	6/16/1993		
000037159	9/11/2010	9/11/2010	7/26/2024	7/26/2024
000037282	6/16/1993	6/16/1993	9/6/2024	9/6/2024
000037297	6/16/1993	6/16/1993	8/17/2024	8/17/2024
000037337	6/16/1993	6/16/1993	11/13/2024	11/13/2024
000037447	5/10/1999	5/10/1999		
000037453	5/10/1999	5/10/1999		
000037455	5/10/1999	5/10/1999	11/19/2024	11/19/2024
000037473	5/10/1999	5/10/1999	11/1/2024	11/1/2024
000037529	6/16/1993	6/16/1993	11/13/2024	11/13/2024
000037558	9/14/1997	9/14/1997	11/26/2024	11/26/2024
000037685	5/10/1999	5/10/1999		
000037851	10/28/2011	10/28/2011	8/11/2024	8/11/2024
000037956	6/16/1993	6/16/1993	8/6/2024	8/6/2024
000037969	6/16/1993	6/16/1993		
000038020	9/14/1997	9/14/1997	12/10/2024	12/10/2024
